"",BBK01.OEAK01T,BBK01.OEAK01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:09,
2002-01,1.068,
2002-04,1.072,
2002-07,1.114,
2002-10,1.158,
2003-01,1.089,
2003-04,1.084,
2003-07,1.109,
2003-10,1.150,
2004-01,1.119,
2004-04,1.116,
2004-07,1.127,
2004-10,1.195,
2005-01,1.147,
2005-04,1.142,
2005-07,1.181,
2005-10,1.251,
2006-01,1.163,
2006-04,1.179,
2006-07,1.238,
2006-10,1.313,
2007-01,1.274,
2007-04,1.293,
2007-07,1.342,
2007-10,1.476,
2008-01,1.382,
2008-04,1.392,
2008-07,1.493,
2008-10,1.655,
2009-01,1.533,
2009-04,1.558,
2009-07,1.546,
2009-10,1.636,
2010-01,1.542,
2010-04,1.624,
2010-07,1.699,
2010-10,1.798,
2011-01,1.689,
2011-04,1.697,
2011-07,1.801,
2011-10,1.922,
2012-01,1.844,
2012-04,1.924,
2012-07,2.108,
2012-10,2.173,
2013-01,2.102,
2013-04,2.102,
2013-07,2.201,
2013-10,2.332,
2014-01,2.228,
2014-04,2.199,
2014-07,2.314,
