"",BBK01.OEAM05G,BBK01.OEAM05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:35,
2002-01,3.388,
2002-04,3.304,
2002-07,3.314,
2002-10,3.376,
2003-01,3.267,
2003-04,3.177,
2003-07,3.181,
2003-10,3.205,
2004-01,3.143,
2004-04,3.026,
2004-07,2.709,
2004-10,2.788,
2005-01,2.738,
2005-04,2.706,
2005-07,2.578,
2005-10,2.588,
2006-01,2.540,
2006-04,2.524,
2006-07,2.548,
2006-10,2.578,
2007-01,2.463,
2007-04,2.534,
2007-07,2.497,
2007-10,2.502,
2008-01,2.404,
2008-04,2.374,
2008-07,2.367,
2008-10,2.369,
2009-01,2.376,
2009-04,2.404,
2009-07,2.344,
2009-10,2.348,
2010-01,2.304,
2010-04,2.282,
2010-07,2.252,
2010-10,2.261,
2011-01,2.192,
2011-04,2.142,
2011-07,2.061,
2011-10,2.126,
2012-01,2.131,
2012-04,14.839,
2012-07,14.846,
2012-10,14.949,
2013-01,14.835,
2013-04,14.702,
2013-07,14.796,
2013-10,15.161,
2014-01,15.276,
2014-04,15.213,
2014-07,15.145,
