"",BBK01.OEYB01P,BBK01.OEYB01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:53,
2002-01,5.383,
2002-04,5.353,
2002-07,5.489,
2002-10,5.757,
2003-01,5.898,
2003-04,5.978,
2003-07,5.926,
2003-10,6.073,
2004-01,6.110,
2004-04,6.409,
2004-07,6.562,
2004-10,6.606,
2005-01,6.788,
2005-04,6.980,
2005-07,6.848,
2005-10,6.780,
2006-01,6.770,
2006-04,6.619,
2006-07,6.591,
2006-10,6.711,
2007-01,6.750,
2007-04,6.846,
2007-07,6.864,
2007-10,7.147,
2008-01,7.249,
2008-04,6.910,
2008-07,7.192,
2008-10,7.220,
2009-01,7.085,
2009-04,7.006,
2009-07,7.001,
2009-10,6.883,
2010-01,6.796,
2010-04,6.995,
2010-07,6.920,
2010-10,7.062,
2011-01,7.136,
2011-04,7.351,
2011-07,7.141,
2011-10,7.628,
2012-01,7.597,
2012-04,7.697,
2012-07,7.574,
2012-10,7.832,
2013-01,7.635,
2013-04,8.887,
2013-07,8.906,
2013-10,8.881,
2014-01,8.848,
2014-04,8.834,
2014-07,8.786,
