"",BBK01.OEYB02P,BBK01.OEYB02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:53,
2002-01,0.531,
2002-04,0.513,
2002-07,0.551,
2002-10,0.589,
2003-01,0.595,
2003-04,0.579,
2003-07,0.517,
2003-10,0.478,
2004-01,0.368,
2004-04,0.339,
2004-07,0.430,
2004-10,0.390,
2005-01,0.512,
2005-04,0.539,
2005-07,0.513,
2005-10,0.515,
2006-01,0.484,
2006-04,0.461,
2006-07,0.483,
2006-10,0.499,
2007-01,0.456,
2007-04,0.418,
2007-07,0.418,
2007-10,0.466,
2008-01,0.453,
2008-04,0.497,
2008-07,0.471,
2008-10,0.507,
2009-01,0.458,
2009-04,0.398,
2009-07,0.369,
2009-10,0.453,
2010-01,0.403,
2010-04,0.323,
2010-07,0.304,
2010-10,0.542,
2011-01,0.641,
2011-04,0.695,
2011-07,0.428,
2011-10,0.776,
2012-01,0.689,
2012-04,0.591,
2012-07,0.572,
2012-10,0.716,
2013-01,0.588,
2013-04,0.734,
2013-07,0.702,
2013-10,0.651,
2014-01,0.631,
2014-04,0.668,
2014-07,0.627,
