"",BBK01.OECB16P,BBK01.OECB16P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:17,
2002-01,0.144,
2002-04,0.143,
2002-07,0.158,
2002-10,0.159,
2003-01,0.163,
2003-04,0.160,
2003-07,0.160,
2003-10,0.157,
2004-01,0.156,
2004-04,0.141,
2004-07,0.140,
2004-10,0.129,
2005-01,0.127,
2005-04,0.126,
2005-07,0.124,
2005-10,0.122,
2006-01,0.126,
2006-04,0.125,
2006-07,0.125,
2006-10,0.122,
2007-01,0.121,
2007-04,0.120,
2007-07,0.117,
2007-10,0.116,
2008-01,0.114,
2008-04,0.117,
2008-07,0.110,
2008-10,0.109,
2009-01,0.109,
2009-04,0.170,
2009-07,0.162,
2009-10,0.162,
2010-01,0.161,
2010-04,0.158,
2010-07,0.152,
2010-10,0.155,
2011-01,0.122,
2011-04,0.116,
2011-07,0.115,
2011-10,0.113,
2012-01,0.104,
2012-04,0.093,
2012-07,0.091,
2012-10,0.083,
2013-01,0.078,
2013-04,0.075,
2013-07,0.076,
2013-10,0.107,
2014-01,0.103,
2014-04,0.100,
2014-07,0.118,
