"",BBK01.OEAD09M,BBK01.OEAD09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:10,
2002-01,0.478,
2002-04,0.465,
2002-07,0.471,
2002-10,0.448,
2003-01,0.427,
2003-04,0.425,
2003-07,0.418,
2003-10,0.343,
2004-01,0.344,
2004-04,0.335,
2004-07,0.336,
2004-10,0.297,
2005-01,0.334,
2005-04,0.317,
2005-07,0.312,
2005-10,0.304,
2006-01,0.322,
2006-04,0.333,
2006-07,0.329,
2006-10,0.276,
2007-01,0.378,
2007-04,0.316,
2007-07,0.349,
2007-10,0.363,
2008-01,0.370,
2008-04,0.347,
2008-07,0.293,
2008-10,0.269,
2009-01,0.292,
2009-04,0.286,
2009-07,0.262,
2009-10,0.259,
2010-01,0.265,
2010-04,0.262,
2010-07,0.273,
2010-10,0.243,
2011-01,0.252,
2011-04,0.260,
2011-07,0.282,
2011-10,0.259,
2012-01,0.271,
2012-04,0.269,
2012-07,0.278,
2012-10,0.271,
2013-01,0.268,
2013-04,0.275,
2013-07,0.250,
2013-10,0.256,
2014-01,0.255,
2014-04,0.262,
2014-07,0.230,
