"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.LU.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.LU.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Luxembourg,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:12,
2009-09,728,
2009-10,682,
2009-11,724,
2009-12,852,
2010-01,761,
2010-02,768,
2010-03,935,
2010-04,888,
2010-05,744,
2010-06,730,
2010-07,722,
2010-08,867,
2010-09,725,
2010-10,1018,
2010-11,1067,
2010-12,1143,
2011-01,1134,
2011-02,1114,
2011-03,1193,
2011-04,1076,
2011-05,1014,
2011-06,1009,
2011-07,987,
2011-08,861,
2011-09,827,
2011-10,879,
2011-11,1033,
2011-12,930,
2012-01,1013,
2012-02,1030,
2012-03,1006,
2012-04,995,
2012-05,976,
2012-06,1016,
2012-07,1052,
2012-08,1072,
2012-09,1091,
2012-10,1131,
2012-11,1135,
2012-12,1167,
2013-01,1182,
2013-02,1175,
2013-03,1266,
2013-04,1141,
2013-05,1182,
2013-06,1495,
2013-07,1158,
2013-08,1142,
2013-09,1127,
2013-10,1505,
2013-11,1547,
2013-12,1584,
2014-01,1594,
2014-02,1579,
2014-03,1578,
2014-04,1480,
2014-05,1497,
2014-06,1611,
2014-07,1616,
2014-08,1637,
2014-09,1667,
2014-10,1993,
2014-11,1889,
