"",BBK01.CEFF0C,BBK01.CEFF0C_FLAGS
"",long-term loans                                              debtor: Total           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:31,
1999-01,91.5,
1999-04,91.3,
1999-07,91.3,
1999-10,93.2,
2000-01,93.6,
2000-04,94.5,
2000-07,95.4,
2000-10,96.0,
2001-01,96.0,
2001-04,96.4,
2001-07,95.7,
2001-10,96.7,
2002-01,96.5,
2002-04,96.7,
2002-07,96.1,
2002-10,96.7,
2003-01,96.6,
2003-04,95.6,
2003-07,94.9,
2003-10,93.2,
2004-01,93.9,
2004-04,92.6,
2004-07,87.7,
2004-10,85.6,
2005-01,86.9,
2005-04,84.2,
2005-07,79.3,
2005-10,78.2,
2006-01,77.4,
2006-04,76.6,
2006-07,73.2,
2006-10,72.7,
2007-01,73.3,
2007-04,72.8,
2007-07,72.4,
2007-10,72.2,
2008-01,71.2,
2008-04,70.2,
2008-07,69.1,
2008-10,68.8,
2009-01,67.4,
2009-04,71.0,
2009-07,69.4,
2009-10,68.7,
2010-01,67.4,
2010-04,84.1,
2010-07,82.2,
2010-10,116.1,
2011-01,97.4,
2011-04,100.2,
2011-07,106.3,
2011-10,116.9,
2012-01,119.6,
2012-04,128.9,
2012-07,142.5,
2012-10,149.0,
2013-01,148.0,
2013-04,156.5,
2013-07,144.0,
2013-10,147.3,
2014-01,145.6,
2014-04,152.1,
2014-07,146.6,
