"",BBFB1.Q.N.DE.CA.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:27,
1991-01,679.548,
1991-04,-181.591,
1991-07,-34.178,
1991-10,-248.641,
1992-01,1133.421,
1992-04,-415.794,
1992-07,-940.090,
1992-10,-95.025,
1993-01,691.325,
1993-04,32.902,
1993-07,133.800,
1993-10,422.229,
1994-01,-162.098,
1994-04,873.067,
1994-07,272.191,
1994-10,0.004,
1995-01,-425.283,
1995-04,65.671,
1995-07,-4.510,
1995-10,-196.414,
1996-01,-61.949,
1996-04,-643.926,
1996-07,2581.212,
1996-10,-1009.145,
1997-01,1138.149,
1997-04,642.757,
1997-07,3417.225,
1997-10,-1635.842,
1998-01,2034.297,
1998-04,3548.211,
1998-07,-2261.405,
1998-10,-2460.747,
1999-01,1653.036,
1999-04,326.884,
1999-07,2269.479,
1999-10,1249.145,
2000-01,1183.096,
2000-04,-961.856,
2000-07,962.695,
2000-10,-749.917,
2001-01,-728.222,
2001-04,927.443,
2001-07,-3918.400,
2001-10,770.585,
2002-01,-461.309,
2002-04,-707.965,
2002-07,736.248,
2002-10,-724.081,
2003-01,-153.308,
2003-04,1037.804,
2003-07,-1176.053,
2003-10,216.227,
2004-01,1001.842,
2004-04,1391.467,
2004-07,-324.697,
2004-10,587.807,
2005-01,502.479,
2005-04,1340.058,
2005-07,1128.227,
2005-10,3314.574,
2006-01,2009.520,
2006-04,1.457,
2006-07,-2040.202,
2006-10,665.646,
2007-01,1215.450,
2007-04,1175.357,
2007-07,3747.374,
2007-10,-1550.379,
2008-01,1413.477,
2008-04,3291.228,
2008-07,3267.005,
2008-10,466.546,
2009-01,-87.595,
2009-04,148.375,
2009-07,-893.249,
2009-10,66.671,
2010-01,-995.589,
2010-04,-818.587,
2010-07,-1577.853,
2010-10,2472.005,
2011-01,-1781.871,
2011-04,-173.334,
2011-07,682.184,
2011-10,202.889,
2012-01,-1129.807,
2012-04,-742.232,
2012-07,770.009,
2012-10,-510.109,
2013-01,707.812,
2013-04,778.444,
2013-07,2777.157,
2013-10,2966.579,
2014-01,2015.694,Provisional value
2014-04,2916.344,Provisional value
2014-07,1081.218,Provisional value
2014-10,4214.829,Provisional value
