"",BBK01.CEFE93,BBK01.CEFE93_FLAGS
"",short-term loans                                              debtor: Sonstige Finanzinstitute     creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:29,
1999-01,4.2,
1999-04,3.4,
1999-07,3.5,
1999-10,5.7,
2000-01,5.4,
2000-04,4.3,
2000-07,4.4,
2000-10,3.9,
2001-01,4.6,
2001-04,4.4,
2001-07,4.8,
2001-10,5.0,
2002-01,5.0,
2002-04,5.1,
2002-07,4.7,
2002-10,5.2,
2003-01,4.7,
2003-04,5.4,
2003-07,5.7,
2003-10,6.4,
2004-01,7.2,
2004-04,7.4,
2004-07,6.1,
2004-10,5.9,
2005-01,7.7,
2005-04,8.0,
2005-07,8.3,
2005-10,8.9,
2006-01,9.4,
2006-04,9.7,
2006-07,10.1,
2006-10,9.8,
2007-01,11.6,
2007-04,13.2,
2007-07,12.2,
2007-10,12.3,
2008-01,12.2,
2008-04,13.6,
2008-07,17.2,
2008-10,16.1,
2009-01,17.4,
2009-04,18.5,
2009-07,14.6,
2009-10,0.0,
2010-01,0.0,
2010-04,0.0,
2010-07,0.0,
2010-10,0.0,
2011-01,0.0,
2011-04,0.0,
2011-07,0.0,
2011-10,0.0,
2012-01,0.0,
2012-04,0.0,
2012-07,0.0,
2012-10,0.0,
2013-01,0.0,
2013-04,0.0,
2013-07,0.0,
2013-10,0.0,
2014-01,0.0,
2014-04,0.0,
2014-07,0.0,
