"",BBK01.OEAC08L,BBK01.OEAC08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:21,
2002-01,10.457,
2002-04,9.158,
2002-07,10.513,
2002-10,9.393,
2003-01,16.608,
2003-04,13.394,
2003-07,17.868,
2003-10,18.410,
2004-01,16.563,
2004-04,13.096,
2004-07,16.209,
2004-10,18.953,
2005-01,24.380,
2005-04,24.684,
2005-07,33.177,
2005-10,33.495,
2006-01,41.021,
2006-04,44.555,
2006-07,44.691,
2006-10,24.910,
2007-01,41.839,
2007-04,43.234,
2007-07,38.385,
2007-10,33.608,
2008-01,43.967,
2008-04,37.912,
2008-07,39.415,
2008-10,44.451,
2009-01,56.864,
2009-04,50.704,
2009-07,44.833,
2009-10,42.643,
2010-01,31.764,
2010-04,31.786,
2010-07,30.862,
2010-10,32.477,
2011-01,37.064,
2011-04,40.270,
2011-07,39.683,
2011-10,39.825,
2012-01,38.772,
2012-04,35.182,
2012-07,36.426,
2012-10,35.430,
2013-01,41.773,
2013-04,51.518,
2013-07,17.427,
2013-10,15.963,
2014-01,16.414,
2014-04,15.830,
2014-07,16.869,
