"",BBFB1.Q.N.DE.S19800.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:18,
1991-01,294.206,
1991-04,305.413,
1991-07,341.555,
1991-10,266.839,
1992-01,371.715,
1992-04,348.364,
1992-07,344.006,
1992-10,308.731,
1993-01,381.747,
1993-04,341.497,
1993-07,355.292,
1993-10,280.507,
1994-01,297.515,
1994-04,288.632,
1994-07,306.537,
1994-10,333.684,
1995-01,405.464,
1995-04,422.245,
1995-07,400.168,
1995-10,414.324,
1996-01,434.095,
1996-04,410.091,
1996-07,435.441,
1996-10,452.528,
1997-01,100.132,
1997-04,158.196,
1997-07,58.711,
1997-10,15.724,
1998-01,98.651,
1998-04,123.287,
1998-07,354.373,
1998-10,260.910,
1999-01,90.698,
1999-04,372.364,
1999-07,531.579,
1999-10,633.362,
2000-01,856.954,
2000-04,703.036,
2000-07,772.334,
2000-10,815.535,
2001-01,626.702,
2001-04,527.900,
2001-07,478.558,
2001-10,509.414,
2002-01,480.703,
2002-04,525.527,
2002-07,544.801,
2002-10,567.464,
2003-01,497.673,
2003-04,522.118,
2003-07,539.553,
2003-10,559.728,
2004-01,870.121,
2004-04,919.924,
2004-07,954.541,
2004-10,969.098,
2005-01,853.199,
2005-04,923.136,
2005-07,966.687,
2005-10,990.460,
2006-01,1041.721,
2006-04,1124.549,
2006-07,1226.313,
2006-10,1169.634,
2007-01,1405.747,
2007-04,1414.487,
2007-07,1291.266,
2007-10,1082.466,
2008-01,991.589,
2008-04,794.225,
2008-07,721.870,
2008-10,750.709,
2009-01,773.198,
2009-04,829.081,
2009-07,840.174,
2009-10,834.597,
2010-01,1041.513,
2010-04,1121.902,
2010-07,1184.181,
2010-10,1181.292,
2011-01,1156.361,
2011-04,1203.503,
2011-07,1254.719,
2011-10,1196.832,
2012-01,1179.402,
2012-04,1217.790,
2012-07,1211.861,
2012-10,1151.588,
2013-01,1173.074,
2013-04,1236.787,
2013-07,1288.439,
2013-10,1204.185,
2014-01,1158.497,Provisional value
2014-04,1278.457,Provisional value
2014-07,1282.930,Provisional value
