"",BBK01.CEFC90,BBK01.CEFC90_FLAGS
"",Financial derivatives and employee stock options  debtor: Non-MMF investment funds       creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:28,
1999-01,2.0,
1999-04,2.2,
1999-07,2.2,
1999-10,2.2,
2000-01,2.2,
2000-04,2.2,
2000-07,2.5,
2000-10,2.7,
2001-01,2.9,
2001-04,3.1,
2001-07,3.4,
2001-10,3.7,
2002-01,3.9,
2002-04,4.0,
2002-07,4.4,
2002-10,4.6,
2003-01,4.9,
2003-04,5.1,
2003-07,4.8,
2003-10,4.6,
2004-01,5.3,
2004-04,4.9,
2004-07,4.9,
2004-10,4.9,
2005-01,5.2,
2005-04,5.2,
2005-07,5.5,
2005-10,5.5,
2006-01,5.7,
2006-04,5.8,
2006-07,5.6,
2006-10,5.6,
2007-01,6.1,
2007-04,6.5,
2007-07,6.7,
2007-10,7.0,
2008-01,7.9,
2008-04,7.4,
2008-07,8.2,
2008-10,8.8,
2009-01,9.2,
2009-04,6.0,
2009-07,5.7,
2009-10,6.3,
2010-01,10.9,
2010-04,9.2,
2010-07,5.7,
2010-10,6.1,
2011-01,4.9,
2011-04,4.5,
2011-07,10.0,
2011-10,8.8,
2012-01,5.3,
2012-04,7.1,
2012-07,5.3,
2012-10,4.6,
2013-01,6.9,
2013-04,5.6,
2013-07,4.6,
2013-10,4.2,
2014-01,4.3,
2014-04,4.5,
2014-07,10.5,
