"",BBK01.OEBI01K,BBK01.OEBI01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:12,
2002-01,25.176,
2002-04,25.817,
2002-07,27.225,
2002-10,28.724,
2003-01,27.792,
2003-04,26.613,
2003-07,27.655,
2003-10,27.837,
2004-01,26.925,
2004-04,27.612,
2004-07,28.365,
2004-10,28.587,
2005-01,29.209,
2005-04,29.884,
2005-07,30.087,
2005-10,29.639,
2006-01,30.210,
2006-04,31.051,
2006-07,30.443,
2006-10,31.335,
2007-01,33.231,
2007-04,33.959,
2007-07,35.098,
2007-10,38.420,
2008-01,37.642,
2008-04,38.193,
2008-07,39.667,
2008-10,42.052,
2009-01,42.356,
2009-04,43.079,
2009-07,41.738,
2009-10,42.004,
2010-01,43.018,
2010-04,43.718,
2010-07,42.461,
2010-10,45.172,
2011-01,43.513,
2011-04,44.624,
2011-07,45.488,
2011-10,46.415,
2012-01,48.084,
2012-04,50.944,
2012-07,51.529,
2012-10,53.915,
2013-01,53.930,
2013-04,53.417,
2013-07,54.104,
2013-10,54.028,
2014-01,53.927,
2014-04,54.219,
2014-07,56.265,
