"",BBK01.OEAA49S,BBK01.OEAA49S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:14,
2002-01,0.014,
2002-04,0.013,
2002-07,0.014,
2002-10,0.025,
2003-01,0.022,
2003-04,0.023,
2003-07,0.077,
2003-10,0.086,
2004-01,0.075,
2004-04,0.072,
2004-07,0.077,
2004-10,0.030,
2005-01,0.028,
2005-04,0.032,
2005-07,0.039,
2005-10,0.043,
2006-01,0.043,
2006-04,0.045,
2006-07,0.045,
2006-10,0.048,
2007-01,0.050,
2007-04,0.056,
2007-07,0.053,
2007-10,0.055,
2008-01,0.056,
2008-04,0.078,
2008-07,0.117,
2008-10,0.121,
2009-01,0.124,
2009-04,0.128,
2009-07,0.129,
2009-10,0.136,
2010-01,0.114,
2010-04,0.121,
2010-07,0.116,
2010-10,0.116,
2011-01,0.112,
2011-04,0.118,
2011-07,0.123,
2011-10,0.115,
2012-01,0.113,
2012-04,0.124,
2012-07,0.133,
2012-10,0.134,
2013-01,0.133,
2013-04,0.116,
2013-07,0.104,
2013-10,0.117,
2014-01,0.116,
2014-04,0.122,
2014-07,0.117,
