"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.PL.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.PL.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Poland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:41,
2009-09,150,
2009-10,155,
2009-11,171,
2009-12,170,
2010-01,163,
2010-02,164,
2010-03,180,
2010-04,181,
2010-05,181,
2010-06,166,
2010-07,201,
2010-08,196,
2010-09,227,
2010-10,241,
2010-11,250,
2010-12,267,
2011-01,249,
2011-02,253,
2011-03,254,
2011-04,265,
2011-05,268,
2011-06,275,
2011-07,270,
2011-08,239,
2011-09,209,
2011-10,230,
2011-11,213,
2011-12,216,
2012-01,189,
2012-02,192,
2012-03,180,
2012-04,175,
2012-05,159,
2012-06,180,
2012-07,186,
2012-08,209,
2012-09,227,
2012-10,225,
2012-11,233,
2012-12,247,
2013-01,234,
2013-02,239,
2013-03,225,
2013-04,221,
2013-05,224,
2013-06,208,
2013-07,249,
2013-08,257,
2013-09,258,
2013-10,276,
2013-11,277,
2013-12,251,
2014-01,242,
2014-02,260,
2014-03,257,
2014-04,258,
2014-05,260,
2014-06,257,
2014-07,258,
2014-08,284,
2014-09,304,
2014-10,303,
2014-11,312,
