"",BBK01.OEYB24U,BBK01.OEYB24U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:59,
2002-01,1.823,
2002-04,1.787,
2002-07,1.767,
2002-10,1.735,
2003-01,1.720,
2003-04,1.702,
2003-07,1.665,
2003-10,1.665,
2004-01,1.650,
2004-04,1.649,
2004-07,1.711,
2004-10,1.719,
2005-01,1.710,
2005-04,1.718,
2005-07,1.705,
2005-10,1.724,
2006-01,1.744,
2006-04,1.727,
2006-07,1.723,
2006-10,1.707,
2007-01,1.699,
2007-04,1.680,
2007-07,1.675,
2007-10,1.721,
2008-01,1.714,
2008-04,1.703,
2008-07,1.706,
2008-10,1.907,
2009-01,1.897,
2009-04,1.900,
2009-07,1.923,
2009-10,1.926,
2010-01,1.959,
2010-04,1.878,
2010-07,1.895,
2010-10,1.916,
2011-01,1.870,
2011-04,1.891,
2011-07,1.877,
2011-10,1.871,
2012-01,1.941,
2012-04,1.936,
2012-07,1.952,
2012-10,1.989,
2013-01,2.307,
2013-04,2.320,
2013-07,2.323,
2013-10,2.322,
2014-01,2.291,
2014-04,2.262,
2014-07,2.183,
