"",BBK01.OEAB09G,BBK01.OEAB09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:25,
2002-01,105.055,
2002-04,108.190,
2002-07,108.075,
2002-10,107.674,
2003-01,104.542,
2003-04,107.337,
2003-07,103.891,
2003-10,103.898,
2004-01,103.810,
2004-04,104.845,
2004-07,101.268,
2004-10,101.039,
2005-01,94.625,
2005-04,96.701,
2005-07,94.680,
2005-10,93.001,
2006-01,92.186,
2006-04,92.656,
2006-07,94.048,
2006-10,92.674,
2007-01,95.173,
2007-04,97.436,
2007-07,100.333,
2007-10,103.340,
2008-01,102.772,
2008-04,106.166,
2008-07,111.770,
2008-10,114.528,
2009-01,120.187,
2009-04,124.667,
2009-07,123.775,
2009-10,119.059,
2010-01,118.116,
2010-04,116.744,
2010-07,116.576,
2010-10,116.097,
2011-01,117.239,
2011-04,115.193,
2011-07,115.708,
2011-10,117.342,
2012-01,118.033,
2012-04,120.482,
2012-07,121.833,
2012-10,120.784,
2013-01,121.826,
2013-04,121.504,
2013-07,113.171,
2013-10,113.622,
2014-01,114.025,
2014-04,114.751,
2014-07,115.065,
