"",BBK01.OEAH38T,BBK01.OEAH38T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:52,
2002-01,0.317,
2002-04,0.323,
2002-07,0.331,
2002-10,0.325,
2003-01,0.333,
2003-04,0.333,
2003-07,0.307,
2003-10,0.304,
2004-01,0.306,
2004-04,0.321,
2004-07,0.320,
2004-10,0.324,
2005-01,0.318,
2005-04,0.345,
2005-07,0.340,
2005-10,0.332,
2006-01,0.333,
2006-04,0.330,
2006-07,0.332,
2006-10,0.324,
2007-01,0.321,
2007-04,0.314,
2007-07,0.287,
2007-10,0.282,
2008-01,0.253,
2008-04,0.252,
2008-07,0.245,
2008-10,0.250,
2009-01,0.238,
2009-04,0.233,
2009-07,0.237,
2009-10,0.226,
2010-01,0.218,
2010-04,0.204,
2010-07,0.204,
2010-10,0.202,
2011-01,0.203,
2011-04,0.202,
2011-07,0.208,
2011-10,0.206,
2012-01,0.203,
2012-04,0.203,
2012-07,0.191,
2012-10,0.192,
2013-01,0.178,
2013-04,0.165,
2013-07,0.175,
2013-10,0.182,
2014-01,0.188,
2014-04,0.209,
2014-07,0.228,
