"",BBK01.OEAF35O,BBK01.OEAF35O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:05,
2002-01,6.435,
2002-04,6.470,
2002-07,6.380,
2002-10,6.490,
2003-01,6.256,
2003-04,6.246,
2003-07,6.289,
2003-10,6.119,
2004-01,6.086,
2004-04,6.011,
2004-07,6.172,
2004-10,6.308,
2005-01,6.330,
2005-04,6.334,
2005-07,6.793,
2005-10,6.784,
2006-01,6.759,
2006-04,6.699,
2006-07,6.708,
2006-10,6.666,
2007-01,6.652,
2007-04,6.671,
2007-07,6.735,
2007-10,6.644,
2008-01,6.657,
2008-04,6.663,
2008-07,6.746,
2008-10,6.701,
2009-01,6.679,
2009-04,6.682,
2009-07,6.686,
2009-10,7.284,
2010-01,7.871,
2010-04,8.388,
2010-07,7.218,
2010-10,6.691,
2011-01,6.691,
2011-04,6.768,
2011-07,6.833,
2011-10,6.865,
2012-01,6.826,
2012-04,6.913,
2012-07,6.918,
2012-10,6.756,
2013-01,6.736,
2013-04,6.337,
2013-07,6.379,
2013-10,6.304,
2014-01,6.166,
2014-04,6.192,
2014-07,6.211,
