"",BBSF2.M.1.S.I0122.DAC01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.DAC01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Number / Domestic credit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:54:04,
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,1,
1999-12,2,
2000-01,3,
2000-02,4,
2000-03,6,
2000-04,7,
2000-05,7,
2000-06,7,
2000-07,9,
2000-08,9,
2000-09,11,
2000-10,12,
2000-11,12,
2000-12,14,
2001-01,15,
2001-02,19,
2001-03,19,
2001-04,22,
2001-05,25,
2001-06,26,
2001-07,28,
2001-08,30,
2001-09,32,
2001-10,32,
2001-11,33,
2001-12,32,
2002-01,33,
2002-02,33,
2002-03,33,
2002-04,38,
2002-05,39,
2002-06,39,
2002-07,39,
2002-08,39,
2002-09,39,
2002-10,40,
2002-11,38,
2002-12,38,
2003-01,38,
2003-02,42,
2003-03,44,
2003-04,44,
2003-05,46,
2003-06,46,
2003-07,49,
2003-08,49,
2003-09,50,
2003-10,53,
2003-11,53,
2003-12,54,
2004-01,54,
2004-02,54,
2004-03,53,
2004-04,53,
2004-05,53,
2004-06,52,
2004-07,51,
2004-08,52,
2004-09,50,
2004-10,50,
2004-11,51,
2004-12,51,
2005-01,51,
2005-02,51,
2005-03,50,
2005-04,50,
2005-05,49,
2005-06,47,
2005-07,46,
2005-08,44,
2005-09,45,
2005-10,44,
2005-11,44,
2005-12,45,
2006-01,45,
2006-02,44,
2006-03,44,
2006-04,45,
2006-05,45,
2006-06,44,
2006-07,44,
2006-08,44,
2006-09,45,
2006-10,45,
2006-11,44,
2006-12,44,
2007-01,43,
2007-02,42,
2007-03,43,
2007-04,43,
2007-05,44,
2007-06,44,
2007-07,43,
2007-08,43,
2007-09,43,
2007-10,44,
2007-11,43,
2007-12,41,
2008-01,38,
2008-02,37,
2008-03,37,
2008-04,37,
2008-05,36,
2008-06,36,
2008-07,34,
2008-08,33,
2008-09,33,
2008-10,33,
2008-11,33,
2008-12,30,
2009-01,30,
2009-02,30,
2009-03,30,
2009-04,30,
2009-05,29,
2009-06,29,
2009-07,29,
2009-08,29,
2009-09,30,
2009-10,29,
2009-11,29,
2009-12,29,
2010-01,29,
2010-02,29,
2010-03,29,
2010-04,29,
2010-05,29,
2010-06,26,
2010-07,25,
2010-08,25,
2010-09,25,
2010-10,25,
2010-11,25,
2010-12,24,
2011-01,23,
2011-02,23,
2011-03,24,
2011-04,24,
2011-05,24,
2011-06,24,
2011-07,24,
2011-08,24,
2011-09,24,
2011-10,24,
2011-11,24,
2011-12,24,
2012-01,23,
2012-02,22,
2012-03,23,
2012-04,23,
2012-05,22,
2012-06,22,
2012-07,22,
2012-08,22,
2012-09,22,
2012-10,22,
2012-11,22,
2012-12,22,
2013-01,22,
2013-02,22,
2013-03,22,
2013-04,22,
2013-05,22,
2013-06,23,
2013-07,23,
2013-08,23,
2013-09,23,
2013-10,23,
2013-11,23,
2013-12,23,
2014-01,23,
2014-02,23,
2014-03,23,
2014-04,23,
2014-05,23,
2014-06,23,
2014-07,23,
2014-08,22,
2014-09,22,
2014-10,21,
2014-11,21,
