"",BBK01.CEFC0N,BBK01.CEFC0N_FLAGS
"",Financial derivatives and employee stock options  debtor: Total                          creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:20,
1999-01,331.8,
1999-04,368.7,
1999-07,367.5,
1999-10,366.2,
2000-01,367.5,
2000-04,368.7,
2000-07,412.5,
2000-10,456.3,
2001-01,485.5,
2001-04,514.7,
2001-07,568.2,
2001-10,621.8,
2002-01,650.4,
2002-04,669.8,
2002-07,744.7,
2002-10,768.7,
2003-01,826.0,
2003-04,856.9,
2003-07,813.9,
2003-10,772.4,
2004-01,889.5,
2004-04,823.5,
2004-07,821.6,
2004-10,828.6,
2005-01,873.3,
2005-04,883.4,
2005-07,920.6,
2005-10,920.7,
2006-01,955.1,
2006-04,971.3,
2006-07,946.3,
2006-10,939.3,
2007-01,1024.2,
2007-04,1101.8,
2007-07,1129.5,
2007-10,1182.3,
2008-01,1322.0,
2008-04,1244.6,
2008-07,1381.4,
2008-10,1475.7,
2009-01,1540.9,
2009-04,1003.9,
2009-07,953.7,
2009-10,886.1,
2010-01,958.7,
2010-04,1174.8,
2010-07,1079.2,
2010-10,786.4,
2011-01,636.0,
2011-04,611.2,
2011-07,989.1,
2011-10,929.1,
2012-01,839.3,
2012-04,951.5,
2012-07,929.8,
2012-10,841.5,
2013-01,758.4,
2013-04,631.7,
2013-07,584.8,
2013-10,531.1,
2014-01,509.8,
2014-04,544.7,
2014-07,617.5,
