"",BBFB1.Q.N.DE.O1.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:32,
1991-01,364.173,
1991-04,97.221,
1991-07,183.687,
1991-10,-708.283,
1992-01,569.385,
1992-04,-726.700,
1992-07,-540.839,
1992-10,201.733,
1993-01,-111.196,
1993-04,301.334,
1993-07,146.441,
1993-10,13.304,
1994-01,684.071,
1994-04,481.561,
1994-07,384.946,
1994-10,646.590,
1995-01,269.625,
1995-04,-111.430,
1995-07,-173.819,
1995-10,-76.134,
1996-01,-36.661,
1996-04,317.074,
1996-07,496.629,
1996-10,-347.904,
1997-01,721.018,
1997-04,860.923,
1997-07,40.959,
1997-10,-190.251,
1998-01,1253.682,
1998-04,-1534.851,
1998-07,-403.429,
1998-10,106.159,
1999-01,452.432,
1999-04,1087.950,
1999-07,-354.707,
1999-10,8.768,
2000-01,1412.860,
2000-04,316.119,
2000-07,1806.032,
2000-10,127.346,
2001-01,637.874,
2001-04,-135.181,
2001-07,90.421,
2001-10,-221.155,
2002-01,-86.652,
2002-04,-684.520,
2002-07,635.314,
2002-10,38.524,
2003-01,565.636,
2003-04,355.527,
2003-07,-638.375,
2003-10,773.352,
2004-01,980.054,
2004-04,434.511,
2004-07,794.772,
2004-10,-179.824,
2005-01,1969.973,
2005-04,3708.050,
2005-07,-280.542,
2005-10,-3.190,
2006-01,-421.521,
2006-04,568.725,
2006-07,-790.191,
2006-10,2038.097,
2007-01,1094.416,
2007-04,3369.573,
2007-07,92.598,
2007-10,498.147,
2008-01,1146.829,
2008-04,1176.003,
2008-07,923.749,
2008-10,-1920.041,
2009-01,-93.069,
2009-04,702.601,
2009-07,-817.050,
2009-10,-175.801,
2010-01,1234.540,
2010-04,-458.550,
2010-07,844.399,
2010-10,3961.161,
2011-01,873.365,
2011-04,2186.894,
2011-07,-6050.583,
2011-10,572.808,
2012-01,3700.129,
2012-04,591.463,
2012-07,1907.538,
2012-10,-114.854,
2013-01,467.945,
2013-04,1233.833,
2013-07,1854.840,
2013-10,614.665,
2014-01,2240.750,Provisional value
2014-04,2042.580,Provisional value
2014-07,2017.747,Provisional value
2014-10,1638.160,Provisional value
