"",BBK01.OEYK01I,BBK01.OEYK01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:43,
2002-01,3.905,
2002-04,3.783,
2002-07,3.743,
2002-10,3.670,
2003-01,3.652,
2003-04,3.472,
2003-07,4.002,
2003-10,3.284,
2004-01,3.231,
2004-04,2.827,
2004-07,2.784,
2004-10,2.111,
2005-01,2.071,
2005-04,0.989,
2005-07,1.020,
2005-10,1.243,
2006-01,1.103,
2006-04,1.063,
2006-07,1.076,
2006-10,0.680,
2007-01,0.707,
2007-04,0.718,
2007-07,0.771,
2007-10,0.864,
2008-01,0.832,
2008-04,1.023,
2008-07,0.969,
2008-10,0.829,
2009-01,0.840,
2009-04,0.970,
2009-07,1.044,
2009-10,1.176,
2010-01,1.228,
2010-04,1.265,
2010-07,1.280,
2010-10,1.309,
2011-01,1.236,
2011-04,1.237,
2011-07,1.240,
2011-10,1.248,
2012-01,1.142,
2012-04,1.198,
2012-07,1.214,
2012-10,1.258,
2013-01,1.162,
2013-04,1.186,
2013-07,1.215,
2013-10,1.248,
2014-01,1.282,
2014-04,1.332,
2014-07,1.389,
