"",BBEX3.M.TOP.EUR.CM.AC.A01,BBEX3.M.TOP.EUR.CM.AC.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Tonga * / TOP 1 = EUR ... (middle),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:28,
1999-01,0.54560,
1999-02,0.56000,
1999-03,0.58310,
1999-04,0.60550,
1999-05,0.59870,
1999-06,0.60520,
1999-07,0.56410,
1999-08,0.58640,
1999-09,0.58480,
1999-10,0.58460,
1999-11,0.60820,
1999-12,0.61830,
2000-01,0.64490,
2000-02,0.61800,
2000-03,0.62820,
2000-04,0.65180,
2000-05,0.63740,
2000-06,0.62230,
2000-07,0.63300,
2000-08,0.66900,
2000-09,0.60450,
2000-10,0.61470,
2000-11,0.58980,
2000-12,0.54550,
2001-01,0.54110,
2001-02,0.54350,
2001-03,0.54400,
2001-04,0.53660,
2001-05,0.54980,
2001-06,0.55010,
2001-07,0.52760,
2001-08,0.49580,
2001-09,0.48850,
2001-10,0.50210,
2001-11,0.51270,
2001-12,0.51160,
2002-01,0.52370,
2002-02,0.52640,
2002-03,0.52720,
2002-04,0.51000,
2002-05,0.49600,
2002-06,0.47000,
2002-07,0.46230,
2002-08,0.45700,
2002-09,0.46100,
2002-10,0.45330,
2002-11,0.44940,
2002-12,0.42820,
2003-01,0.42200,
2003-02,0.42830,
2003-03,0.42320,
2003-04,0.41450,
2003-05,0.39100,
2003-06,0.40720,
2003-07,0.40860,
2003-08,0.42150,
2003-09,0.40900,
2003-10,0.41010,
2003-11,0.40560,
2003-12,0.39440,
2004-01,0.40870,
2004-02,0.41770,
2004-03,0.41840,
2004-04,0.41830,
2004-05,0.41220,
2004-06,0.41750,
2004-07,0.39350,
2004-08,0.41420,
2004-09,0.40650,
2004-10,0.39630,
2004-11,0.38950,
2004-12,0.38210,
2005-01,0.40050,
2005-02,0.39770,
2005-03,0.40330,
2005-04,0.40840,
2005-05,0.41700,
2005-06,0.42940,
2005-07,0.42170,
2005-08,0.41840,
2005-09,0.41960,
2005-10,0.42010,
2005-11,0.41580,
2005-12,0.40990,
2006-01,0.40110,
2006-02,0.40920,
2006-03,0.40070,
2006-04,0.39680,
2006-05,0.38770,
2006-06,0.38220,
2006-07,0.38670,
2006-08,0.40250,
2006-09,0.40435,
2006-10,0.40675,
2006-11,0.39400,
2006-12,0.39430,
2007-01,0.39385,
2007-02,0.39040,
2007-03,0.39120,
2007-04,0.38570,
2007-05,0.38890,
2007-06,0.39660,
2007-07,0.38660,
2007-08,0.37750,
2007-09,0.37480,
2007-10,0.37435,
2007-11,0.36680,
2007-12,0.37335,
2008-01,0.37325,
2008-02,0.37565,
2008-03,0.35780,
2008-04,0.36065,
2008-05,0.36405,
2008-06,0.35605,
2008-07,0.34200,
2008-08,0.35060,
2008-09,0.36090,
2008-10,0.37420,
2008-11,0.36875,
2008-12,0.34350,
2009-01,0.36100,
2009-02,0.36240,
2009-03,0.36255,
2009-04,0.36710,
2009-05,0.36310,
2009-06,0.36525,
2009-07,0.36875,
2009-08,0.36995,
2009-09,0.37015,
2009-10,0.37050,
2009-11,0.36340,
2009-12,0.37890,
2010-01,0.38800,
2010-02,0.38170,
2010-03,0.38820,
2010-04,0.38820,
2010-05,0.41340,
2010-06,0.43575,
2010-07,0.41065,
2010-08,0.40530,
2010-09,0.38840,
2010-10,0.40125,
2010-11,0.42965,
2010-12,0.43380,
2011-01,0.42245,
2011-02,0.41665,
2011-03,0.40780,
2011-04,0.40135,
2011-05,0.42080,
2011-06,0.41095,
2011-07,0.44170,
2011-08,0.42810,
2011-09,0.42810,
2011-10,0.42895,
2011-11,0.44965,
2011-12,0.46490,
2012-01,0.45335,
2012-02,0.46130,
2012-03,0.45710,
2012-04,0.46045,
2012-05,0.45440,
2012-06,0.45910,
2012-07,0.48845,
2012-08,0.47865,
2012-09,0.47045,
2012-10,0.44820,
2012-11,0.44740,
2012-12,0.43570,
2013-01,0.42780,
2013-02,0.43900,
2013-03,0.45500,
2013-04,0.44530,
2013-05,0.43130,
2013-06,0.42130,
2013-07,0.41580,
2013-08,0.40890,
2013-09,0.41290,
2013-10,0.40700,
2013-11,0.40200,
2013-12,0.39325,
2014-01,0.39865,
2014-02,0.39485,
2014-03,0.40215,
2014-04,0.39915,
2014-05,0.40405,
2014-06,0.40835,
2014-07,0.41440,
2014-08,0.41445,
2014-09,0.41905,
2014-10,0.41815,
2014-11,0.41545,
2014-12,0.42325,
2015-01,0.43890,
"","Source: Since January 2015 National Reserve Bank of Tonga, Nuku'alofa August 2006 - December 2014 calculated on the basis of the buying and selling rates of the Westpac Bank of Tonga, Nuku'alofa. January - July 2006 calculated on the basis of the buying and selling rates of the Australia and New Zealand Banking Group (ANZ), Nuku'alofa. 1999 - 2005 Bank ofTonga, Nuku'alofa.",
"","Methodology: * We have data on euro exchange rates from January 1999 to October 2013 and from January 2015. From November 2013 to December 2014, comparable values were calculated on the basis of the buying and selling rates for the US dollar in Tonga in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar;annual averages calculated on the basis of month-end exchange rates/month-end comparable rates.",
