"",BBK01.OEBB12N,BBK01.OEBB12N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:41,
2002-01,18.975,
2002-04,19.273,
2002-07,19.044,
2002-10,18.940,
2003-01,17.784,
2003-04,17.819,
2003-07,17.534,
2003-10,17.680,
2004-01,17.365,
2004-04,17.343,
2004-07,16.649,
2004-10,11.409,
2005-01,12.653,
2005-04,12.564,
2005-07,12.883,
2005-10,12.425,
2006-01,12.373,
2006-04,12.826,
2006-07,12.745,
2006-10,12.445,
2007-01,12.554,
2007-04,12.276,
2007-07,12.328,
2007-10,12.809,
2008-01,13.020,
2008-04,14.786,
2008-07,14.986,
2008-10,14.970,
2009-01,15.175,
2009-04,16.123,
2009-07,15.861,
2009-10,16.856,
2010-01,16.374,
2010-04,16.373,
2010-07,15.875,
2010-10,15.994,
2011-01,16.264,
2011-04,16.058,
2011-07,16.154,
2011-10,16.278,
2012-01,16.140,
2012-04,16.397,
2012-07,16.540,
2012-10,16.920,
2013-01,17.215,
2013-04,16.974,
2013-07,17.342,
2013-10,16.974,
2014-01,17.031,
2014-04,16.713,
2014-07,16.705,
