"",BBFB1.Q.N.DE.E1.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:16,
1991-01,17229.306,
1991-04,6325.913,
1991-07,14082.031,
1991-10,16561.941,
1992-01,4405.875,
1992-04,7086.362,
1992-07,45247.482,
1992-10,27898.884,
1993-01,43685.655,
1993-04,34665.830,
1993-07,26122.095,
1993-10,34416.318,
1994-01,1102.396,
1994-04,3749.713,
1994-07,18665.584,
1994-10,34984.528,
1995-01,26559.414,
1995-04,30018.851,
1995-07,20660.955,
1995-10,15801.579,
1996-01,23798.040,
1996-04,23981.154,
1996-07,8642.350,
1996-10,41904.224,
1997-01,53271.873,
1997-04,38115.363,
1997-07,26760.348,
1997-10,42328.367,
1998-01,80265.817,
1998-04,69776.234,
1998-07,41352.397,
1998-10,43493.631,
1999-01,84749.738,
1999-04,50948.126,
1999-07,58715.841,
1999-10,72681.806,
2000-01,182337.473,
2000-04,115085.890,
2000-07,88813.134,
2000-10,24966.323,
2001-01,110880.303,
2001-04,31121.641,
2001-07,47655.933,
2001-10,21268.475,
2002-01,41588.296,
2002-04,83753.604,
2002-07,94404.938,
2002-10,12726.231,
2003-01,102390.274,
2003-04,46212.014,
2003-07,22822.675,
2003-10,7362.506,
2004-01,90485.372,
2004-04,-31552.636,
2004-07,85231.141,
2004-10,18195.364,
2005-01,134745.761,
2005-04,51246.057,
2005-07,52080.034,
2005-10,43232.958,
2006-01,138909.472,
2006-04,22230.952,
2006-07,40864.881,
2006-10,58120.356,
2007-01,131591.717,
2007-04,137178.354,
2007-07,109558.632,
2007-10,16768.069,
2008-01,133067.488,
2008-04,-14051.242,
2008-07,69799.117,
2008-10,-168612.025,
2009-01,-78008.089,
2009-04,38450.405,
2009-07,-46807.702,
2009-10,-17306.829,
2010-01,60204.253,
2010-04,67144.853,
2010-07,74667.327,
2010-10,52624.442,
2011-01,-3683.349,
2011-04,27784.892,
2011-07,149028.078,
2011-10,-95997.954,
2012-01,199413.193,
2012-04,56941.096,
2012-07,-50537.707,
2012-10,-65096.026,
2013-01,-17644.707,
2013-04,-1723.642,
2013-07,-63262.646,
2013-10,-98366.226,
2014-01,29242.085,Provisional value
2014-04,38764.314,Provisional value
2014-07,-28618.647,Provisional value
2014-10,-62307.046,Provisional value
