"",BBK01.OEXJ04I,BBK01.OEXJ04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:41,
2002-01,1.609,
2002-04,1.686,
2002-07,1.955,
2002-10,1.699,
2003-01,1.628,
2003-04,1.348,
2003-07,1.275,
2003-10,1.265,
2004-01,1.240,
2004-04,1.504,
2004-07,1.738,
2004-10,1.633,
2005-01,2.362,
2005-04,2.069,
2005-07,1.462,
2005-10,1.525,
2006-01,1.685,
2006-04,1.277,
2006-07,1.483,
2006-10,1.446,
2007-01,1.908,
2007-04,2.385,
2007-07,2.352,
2007-10,2.068,
2008-01,2.182,
2008-04,2.353,
2008-07,2.330,
2008-10,1.849,
2009-01,1.017,
2009-04,0.732,
2009-07,0.636,
2009-10,0.647,
2010-01,0.536,
2010-04,0.955,
2010-07,1.388,
2010-10,1.480,
2011-01,1.809,
2011-04,2.077,
2011-07,2.690,
2011-10,2.257,
2012-01,2.521,
2012-04,2.422,
2012-07,2.582,
2012-10,2.598,
2013-01,2.553,
2013-04,2.373,
2013-07,2.294,
2013-10,2.214,
2014-01,2.045,
2014-04,2.073,
2014-07,1.856,
