"",BBK01.OEAA32R,BBK01.OEAA32R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:44,
2002-01,0.010,
2002-04,0.009,
2002-07,0.009,
2002-10,0.009,
2003-01,0.010,
2003-04,0.010,
2003-07,0.011,
2003-10,0.009,
2004-01,0.011,
2004-04,0.010,
2004-07,0.011,
2004-10,0.137,
2005-01,0.245,
2005-04,0.252,
2005-07,0.249,
2005-10,0.243,
2006-01,0.238,
2006-04,0.235,
2006-07,0.233,
2006-10,0.231,
2007-01,0.227,
2007-04,0.227,
2007-07,0.223,
2007-10,0.221,
2008-01,0.216,
2008-04,0.213,
2008-07,0.211,
2008-10,0.209,
2009-01,0.207,
2009-04,0.208,
2009-07,0.209,
2009-10,0.206,
2010-01,0.205,
2010-04,0.203,
2010-07,0.200,
2010-10,0.197,
2011-01,0.194,
2011-04,0.195,
2011-07,0.192,
2011-10,0.186,
2012-01,0.184,
2012-04,0.173,
2012-07,0.168,
2012-10,0.165,
2013-01,0.162,
2013-04,0.157,
2013-07,0.150,
2013-10,0.147,
2014-01,0.144,
2014-04,0.143,
2014-07,0.141,
