"",BBK01.OEXL07T,BBK01.OEXL07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:31,
2002-01,0.695,
2002-04,0.669,
2002-07,0.682,
2002-10,0.691,
2003-01,0.698,
2003-04,0.671,
2003-07,0.656,
2003-10,0.659,
2004-01,0.639,
2004-04,0.625,
2004-07,0.601,
2004-10,0.490,
2005-01,0.504,
2005-04,0.498,
2005-07,0.462,
2005-10,0.470,
2006-01,0.478,
2006-04,0.475,
2006-07,0.462,
2006-10,0.496,
2007-01,0.578,
2007-04,0.601,
2007-07,0.630,
2007-10,0.697,
2008-01,0.728,
2008-04,0.736,
2008-07,0.756,
2008-10,0.888,
2009-01,0.872,
2009-04,0.836,
2009-07,0.831,
2009-10,0.771,
2010-01,0.706,
2010-04,0.682,
2010-07,0.675,
2010-10,0.749,
2011-01,0.804,
2011-04,0.804,
2011-07,0.804,
2011-10,0.794,
2012-01,0.765,
2012-04,0.759,
2012-07,0.744,
2012-10,0.696,
2013-01,0.643,
2013-04,0.607,
2013-07,0.598,
2013-10,0.590,
2014-01,0.572,
2014-04,0.562,
2014-07,0.595,
