"",BBK01.OECB04P,BBK01.OECB04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:12,
2002-01,1.179,
2002-04,1.171,
2002-07,1.173,
2002-10,1.181,
2003-01,1.195,
2003-04,1.186,
2003-07,1.240,
2003-10,1.237,
2004-01,1.221,
2004-04,1.197,
2004-07,1.189,
2004-10,1.158,
2005-01,1.341,
2005-04,1.340,
2005-07,1.335,
2005-10,1.314,
2006-01,1.269,
2006-04,1.271,
2006-07,1.269,
2006-10,1.289,
2007-01,1.315,
2007-04,1.317,
2007-07,1.310,
2007-10,1.282,
2008-01,1.279,
2008-04,1.259,
2008-07,1.232,
2008-10,1.216,
2009-01,1.229,
2009-04,1.569,
2009-07,1.537,
2009-10,1.516,
2010-01,1.478,
2010-04,1.478,
2010-07,1.319,
2010-10,1.378,
2011-01,1.397,
2011-04,1.372,
2011-07,1.367,
2011-10,1.344,
2012-01,1.319,
2012-04,1.278,
2012-07,1.261,
2012-10,1.242,
2013-01,1.240,
2013-04,1.203,
2013-07,1.196,
2013-10,1.285,
2014-01,1.282,
2014-04,1.263,
2014-07,1.280,
