"",BBK01.OECI07Q,BBK01.OECI07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:03,
2002-01,0.633,
2002-04,0.515,
2002-07,0.513,
2002-10,0.562,
2003-01,0.537,
2003-04,0.509,
2003-07,0.572,
2003-10,0.577,
2004-01,0.547,
2004-04,0.533,
2004-07,0.653,
2004-10,1.528,
2005-01,3.151,
2005-04,3.097,
2005-07,3.113,
2005-10,3.087,
2006-01,3.125,
2006-04,3.062,
2006-07,2.984,
2006-10,2.939,
2007-01,2.974,
2007-04,2.928,
2007-07,2.840,
2007-10,2.862,
2008-01,2.844,
2008-04,2.898,
2008-07,2.827,
2008-10,2.873,
2009-01,3.072,
2009-04,3.218,
2009-07,3.381,
2009-10,3.481,
2010-01,3.579,
2010-04,3.553,
2010-07,3.606,
2010-10,3.652,
2011-01,3.602,
2011-04,3.525,
2011-07,3.492,
2011-10,3.481,
2012-01,3.679,
2012-04,3.591,
2012-07,3.569,
2012-10,3.652,
2013-01,3.564,
2013-04,3.500,
2013-07,3.423,
2013-10,3.411,
2014-01,3.367,
2014-04,3.309,
2014-07,3.361,
