"",BBFN1.M.DE.N.1.L.NZ.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NZ.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1997-12,0.025,
1998-01,0.026,
1998-02,0.034,
1998-03,0.035,
1998-04,0.047,
1998-05,0.055,
1998-06,0.048,
1998-07,0.018,
1998-08,0.038,
1998-09,0.033,
1998-10,0.051,
1998-11,0.040,
1998-12,0.035,
1999-01,0.035,
1999-02,0.035,
1999-03,0.023,
1999-04,0.024,
1999-05,0.024,
1999-06,0.025,
1999-07,0.024,
1999-08,0.026,
1999-09,0.028,
1999-10,0.027,
1999-11,0.019,
1999-12,0.021,
2000-01,0.021,
2000-02,0.028,
2000-03,0.030,
2000-04,0.030,
2000-05,0.026,
2000-06,0.026,
2000-07,0.033,
2000-08,0.032,
2000-09,0.029,
2000-10,0.028,
2000-11,0.029,
2000-12,0.027,
2001-01,0.027,
2001-02,0.028,
2001-03,0.045,
2001-04,0.090,
2001-05,0.024,
2001-06,0.034,
2001-07,0.052,
2001-08,0.057,
2001-09,0.063,
2001-10,0.046,
2001-11,0.057,
2001-12,0.056,
2002-01,0.112,
2002-02,0.280,
2002-03,0.278,
2002-04,0.288,
2002-05,0.287,
2002-06,0.288,
2002-07,0.291,
2002-08,0.288,
2002-09,0.327,
2002-10,0.322,
2002-11,0.348,
2002-12,0.334,
2003-01,0.337,
2003-02,0.340,
2003-03,0.363,
2003-04,0.357,
2003-05,0.357,
2003-06,0.367,
2003-07,0.363,
2003-08,0.364,
2003-09,0.387,
2003-10,0.389,
2003-11,0.389,
2003-12,0.394,
2004-01,0.422,
2004-02,0.418,
2004-03,0.431,
2004-04,0.433,
2004-05,0.435,
2004-06,0.485,
2004-07,0.483,
2004-08,0.482,
2004-09,0.492,
2004-10,0.505,
2004-11,0.506,
2004-12,0.492,
2005-01,0.266,
2005-02,0.269,
2005-03,0.266,
2005-04,0.267,
2005-05,0.270,
2005-06,0.272,
2005-07,0.271,
2005-08,0.271,
2005-09,0.330,
2005-10,0.326,
2005-11,0.326,
2005-12,0.325,
2006-01,0.324,
2006-02,0.371,
2006-03,0.372,
2006-04,0.370,
2006-05,0.379,
2006-06,0.383,
2006-07,0.380,
2006-08,0.381,
2006-09,0.383,
2006-10,0.383,
2006-11,0.389,
2006-12,0.393,
2007-01,0.392,
2007-02,0.388,
2007-03,0.389,
2007-04,0.391,
2007-05,0.402,
2007-06,0.418,
2007-07,0.447,
2007-08,0.451,
2007-09,0.481,
2007-10,0.426,
2007-11,0.410,
2007-12,0.405,
2008-01,0.181,
2008-02,0.182,
2008-03,0.185,
2008-04,0.188,
2008-05,0.188,
2008-06,0.182,
2008-07,0.193,
2008-08,0.185,
2008-09,0.172,
2008-10,0.181,
2008-11,0.176,
2008-12,0.168,
2009-01,0.164,
2009-02,0.153,
2009-03,0.169,
2009-04,0.169,
2009-05,0.165,
2009-06,0.165,
2009-07,0.162,
2009-08,0.172,
2009-09,0.175,
2009-10,0.201,
2009-11,0.175,
2009-12,0.179,
2010-01,0.185,
2010-02,0.183,
2010-03,0.192,
2010-04,0.197,
2010-05,0.194,
2010-06,0.195,
2010-07,0.192,
2010-08,0.200,
2010-09,0.204,
2010-10,0.193,
2010-11,0.202,
2010-12,0.200,
2011-01,0.191,
2011-02,0.186,
2011-03,0.184,
2011-04,0.190,
2011-05,0.195,
2011-06,0.216,
2011-07,0.219,
2011-08,0.214,
2011-09,0.224,
2011-10,0.230,
2011-11,0.222,
2011-12,0.231,
2012-01,0.227,
2012-02,0.230,
2012-03,0.216,
2012-04,0.237,
2012-05,0.225,
2012-06,0.231,
2012-07,0.240,
2012-08,0.242,
2012-09,0.270,
2012-10,0.251,
2012-11,0.244,
2012-12,0.251,
2013-01,0.236,
2013-02,0.245,
2013-03,0.287,
2013-04,0.288,
2013-05,0.280,
2013-06,0.272,
2013-07,0.268,
2013-08,0.273,
2013-09,0.326,
2013-10,0.276,
2013-11,0.263,
2013-12,0.250,
2014-01,0.223,
2014-02,0.248,
2014-03,0.239,
2014-04,0.245,
2014-05,0.241,
2014-06,0.245,
2014-07,0.240,
2014-08,0.222,
2014-09,0.230,
2014-10,0.235,
2014-11,0.227,
2014-12,0.246,
