"",BBK01.OEHJ01N,BBK01.OEHJ01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:15,
2002-01,21.525,
2002-04,22.268,
2002-07,22.398,
2002-10,24.006,
2003-01,23.564,
2003-04,23.628,
2003-07,23.454,
2003-10,24.804,
2004-01,23.846,
2004-04,24.107,
2004-07,24.759,
2004-10,25.449,
2005-01,24.717,
2005-04,25.667,
2005-07,25.732,
2005-10,26.630,
2006-01,26.279,
2006-04,26.355,
2006-07,26.925,
2006-10,28.231,
2007-01,27.616,
2007-04,28.005,
2007-07,29.550,
2007-10,29.145,
2008-01,29.124,
2008-04,29.293,
2008-07,30.671,
2008-10,31.715,
2009-01,31.503,
2009-04,32.634,
2009-07,34.055,
2009-10,34.742,
2010-01,33.902,
2010-04,34.382,
2010-07,35.193,
2010-10,36.607,
2011-01,35.907,
2011-04,36.028,
2011-07,38.638,
2011-10,38.975,
2012-01,38.894,
2012-04,40.166,
2012-07,39.894,
2012-10,39.053,
2013-01,38.861,
2013-04,38.923,
2013-07,39.960,
2013-10,40.289,
2014-01,40.383,
2014-04,39.792,
2014-07,40.338,
