"",BBFN1.M.DE.N.1.L.TW.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TW.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / China, Taiwan",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:20,
1995-01,0.025,
1995-02,0.024,
1995-03,0.031,
1995-04,0.026,
1995-05,0.037,
1995-06,0.034,
1995-07,0.040,
1995-08,0.040,
1995-09,0.029,
1995-10,0.028,
1995-11,0.034,
1995-12,0.028,
1996-01,0.036,
1996-02,0.034,
1996-03,0.032,
1996-04,0.032,
1996-05,0.031,
1996-06,0.037,
1996-07,0.032,
1996-08,0.050,
1996-09,0.052,
1996-10,0.053,
1996-11,0.050,
1996-12,0.057,
1997-01,0.060,
1997-02,0.058,
1997-03,0.045,
1997-04,0.044,
1997-05,0.040,
1997-06,0.052,
1997-07,0.058,
1997-08,0.054,
1997-09,0.054,
1997-10,0.054,
1997-11,0.056,
1997-12,0.056,
1998-01,0.064,
1998-02,0.062,
1998-03,0.051,
1998-04,0.055,
1998-05,0.057,
1998-06,0.060,
1998-07,0.060,
1998-08,0.061,
1998-09,0.040,
1998-10,0.055,
1998-11,0.061,
1998-12,0.066,
1999-01,0.067,
1999-02,0.080,
1999-03,0.068,
1999-04,0.078,
1999-05,0.072,
1999-06,0.087,
1999-07,0.083,
1999-08,0.083,
1999-09,0.068,
1999-10,0.080,
1999-11,0.073,
1999-12,0.067,
2000-01,0.063,
2000-02,0.059,
2000-03,0.063,
2000-04,0.069,
2000-05,0.066,
2000-06,0.061,
2000-07,0.056,
2000-08,0.054,
2000-09,0.058,
2000-10,0.051,
2000-11,0.057,
2000-12,0.027,
2001-01,0.029,
2001-02,0.033,
2001-03,0.039,
2001-04,0.042,
2001-05,0.032,
2001-06,0.036,
2001-07,0.055,
2001-08,0.069,
2001-09,0.072,
2001-10,0.067,
2001-11,0.079,
2001-12,0.078,
2002-01,0.085,
2002-02,0.080,
2002-03,0.085,
2002-04,0.080,
2002-05,0.083,
2002-06,0.094,
2002-07,0.084,
2002-08,0.083,
2002-09,0.095,
2002-10,0.067,
2002-11,0.072,
2002-12,0.084,
2003-01,0.064,
2003-02,0.067,
2003-03,0.059,
2003-04,0.068,
2003-05,0.073,
2003-06,0.090,
2003-07,0.100,
2003-08,0.095,
2003-09,0.047,
2003-10,0.115,
2003-11,0.139,
2003-12,0.161,
2004-01,0.141,
2004-02,0.152,
2004-03,0.180,
2004-04,0.181,
2004-05,0.188,
2004-06,0.193,
2004-07,0.196,
2004-08,0.208,
2004-09,0.200,
2004-10,0.170,
2004-11,0.168,
2004-12,0.172,
2005-01,0.153,
2005-02,0.166,
2005-03,0.153,
2005-04,0.157,
2005-05,0.171,
2005-06,0.181,
2005-07,0.172,
2005-08,0.179,
2005-09,0.175,
2005-10,0.171,
2005-11,0.189,
2005-12,0.206,
2006-01,0.199,
2006-02,0.197,
2006-03,0.199,
2006-04,0.189,
2006-05,0.204,
2006-06,0.203,
2006-07,0.202,
2006-08,0.223,
2006-09,0.219,
2006-10,0.223,
2006-11,0.223,
2006-12,0.193,
2007-01,0.179,
2007-02,0.163,
2007-03,0.173,
2007-04,0.173,
2007-05,0.178,
2007-06,0.204,
2007-07,0.200,
2007-08,0.201,
2007-09,0.202,
2007-10,0.194,
2007-11,0.202,
2007-12,0.193,
2008-01,0.175,
2008-02,0.173,
2008-03,0.164,
2008-04,0.165,
2008-05,0.165,
2008-06,0.172,
2008-07,0.062,
2008-08,0.077,
2008-09,0.065,
2008-10,0.068,
2008-11,0.098,
2008-12,0.091,
2009-01,0.079,
2009-02,0.110,
2009-03,0.087,
2009-04,0.076,
2009-05,0.070,
2009-06,0.081,
2009-07,0.077,
2009-08,0.074,
2009-09,0.077,
2009-10,0.056,
2009-11,0.056,
2009-12,0.061,
2010-01,0.054,
2010-02,0.044,
2010-03,0.053,
2010-04,0.052,
2010-05,0.052,
2010-06,0.064,
2010-07,0.060,
2010-08,0.054,
2010-09,0.044,
2010-10,0.046,
2010-11,0.050,
2010-12,0.054,
2011-01,0.043,
2011-02,0.041,
2011-03,0.053,
2011-04,0.054,
2011-05,0.053,
2011-06,0.046,
2011-07,0.041,
2011-08,0.049,
2011-09,0.059,
2011-10,0.053,
2011-11,0.063,
2011-12,0.068,
2012-01,0.066,
2012-02,0.061,
2012-03,0.071,
2012-04,0.071,
2012-05,0.070,
2012-06,0.068,
2012-07,0.076,
2012-08,0.067,
2012-09,0.082,
2012-10,0.085,
2012-11,0.087,
2012-12,0.090,
2013-01,0.063,
2013-02,0.073,
2013-03,0.058,
2013-04,0.059,
2013-05,0.132,
2013-06,0.132,
2013-07,0.128,
2013-08,0.110,
2013-09,0.147,
2013-10,0.130,
2013-11,0.129,
2013-12,0.126,
2014-01,0.135,
2014-02,0.133,
2014-03,0.124,
2014-04,0.126,
2014-05,0.158,
2014-06,0.127,
2014-07,0.138,
2014-08,0.119,
2014-09,0.123,
2014-10,0.125,
2014-11,0.118,
2014-12,0.097,
