"",BBK01.OEXB16M,BBK01.OEXB16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:51,
2002-01,2.519,
2002-04,2.509,
2002-07,2.504,
2002-10,2.492,
2003-01,2.467,
2003-04,2.471,
2003-07,2.453,
2003-10,2.443,
2004-01,2.435,
2004-04,2.450,
2004-07,2.453,
2004-10,2.215,
2005-01,2.231,
2005-04,2.378,
2005-07,2.380,
2005-10,2.394,
2006-01,2.423,
2006-04,2.464,
2006-07,2.448,
2006-10,2.461,
2007-01,2.506,
2007-04,2.516,
2007-07,2.604,
2007-10,2.647,
2008-01,2.648,
2008-04,2.689,
2008-07,2.672,
2008-10,2.687,
2009-01,2.681,
2009-04,2.794,
2009-07,2.755,
2009-10,2.815,
2010-01,2.839,
2010-04,2.904,
2010-07,2.946,
2010-10,2.983,
2011-01,2.993,
2011-04,2.998,
2011-07,3.002,
2011-10,3.017,
2012-01,3.017,
2012-04,3.009,
2012-07,3.037,
2012-10,3.026,
2013-01,3.014,
2013-04,3.029,
2013-07,3.023,
2013-10,3.016,
2014-01,2.965,
2014-04,2.914,
2014-07,2.915,
