"",BBK01.CEFI30,BBK01.CEFI30_FLAGS
"",Listed shares                                             debtor: MFI                          creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:53,
1999-01,148.8,
1999-04,142.9,
1999-07,131.5,
1999-10,154.2,
2000-01,183.8,
2000-04,156.6,
2000-07,161.4,
2000-10,150.9,
2001-01,149.9,
2001-04,147.1,
2001-07,116.6,
2001-10,131.8,
2002-01,138.7,
2002-04,128.1,
2002-07,61.1,
2002-10,58.0,
2003-01,48.6,
2003-04,69.0,
2003-07,69.1,
2003-10,80.8,
2004-01,80.8,
2004-04,86.4,
2004-07,81.5,
2004-10,86.5,
2005-01,93.4,
2005-04,90.9,
2005-07,104.3,
2005-10,111.5,
2006-01,127.6,
2006-04,119.0,
2006-07,124.4,
2006-10,127.8,
2007-01,141.5,
2007-04,146.2,
2007-07,129.3,
2007-10,130.1,
2008-01,112.6,
2008-04,103.0,
2008-07,82.5,
2008-10,33.1,
2009-01,32.4,
2009-04,44.9,
2009-07,57.7,
2009-10,52.4,
2010-01,57.8,
2010-04,50.6,
2010-07,47.4,
2010-10,57.5,
2011-01,59.0,
2011-04,65.7,
2011-07,46.0,
2011-10,46.3,
2012-01,59.0,
2012-04,47.3,
2012-07,50.2,
2012-10,53.2,
2013-01,49.9,
2013-04,55.0,
2013-07,59.0,
2013-10,65.0,
2014-01,64.8,
2014-04,65.4,
2014-07,68.4,
