"",BBK01.OECJ03K,BBK01.OECJ03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:25,
2002-01,0.814,
2002-04,0.853,
2002-07,1.040,
2002-10,1.115,
2003-01,0.994,
2003-04,0.970,
2003-07,0.942,
2003-10,0.762,
2004-01,0.723,
2004-04,0.703,
2004-07,0.699,
2004-10,3.263,
2005-01,2.024,
2005-04,1.974,
2005-07,1.931,
2005-10,2.247,
2006-01,2.311,
2006-04,2.616,
2006-07,2.556,
2006-10,2.819,
2007-01,3.437,
2007-04,3.487,
2007-07,3.690,
2007-10,4.133,
2008-01,4.075,
2008-04,4.066,
2008-07,4.424,
2008-10,4.137,
2009-01,4.065,
2009-04,3.718,
2009-07,3.146,
2009-10,3.275,
2010-01,3.073,
2010-04,3.222,
2010-07,3.607,
2010-10,3.953,
2011-01,3.366,
2011-04,3.428,
2011-07,3.238,
2011-10,3.507,
2012-01,3.357,
2012-04,3.257,
2012-07,3.222,
2012-10,3.265,
2013-01,2.855,
2013-04,2.697,
2013-07,2.931,
2013-10,2.958,
2014-01,3.303,
2014-04,3.412,
2014-07,3.482,
