"",BBK01.OEXB23L,BBK01.OEXB23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:43,
2002-01,0.081,
2002-04,0.082,
2002-07,0.160,
2002-10,0.141,
2003-01,0.130,
2003-04,0.287,
2003-07,0.298,
2003-10,0.308,
2004-01,0.812,
2004-04,0.810,
2004-07,0.819,
2004-10,0.774,
2005-01,0.927,
2005-04,0.833,
2005-07,0.859,
2005-10,3.342,
2006-01,3.084,
2006-04,2.896,
2006-07,2.530,
2006-10,2.568,
2007-01,2.296,
2007-04,1.820,
2007-07,1.408,
2007-10,1.301,
2008-01,1.137,
2008-04,0.912,
2008-07,0.728,
2008-10,0.588,
2009-01,0.540,
2009-04,0.528,
2009-07,0.388,
2009-10,0.363,
2010-01,0.239,
2010-04,0.239,
2010-07,0.212,
2010-10,0.202,
2011-01,0.201,
2011-04,0.181,
2011-07,0.131,
2011-10,0.131,
2012-01,0.181,
2012-04,0.151,
2012-07,0.101,
2012-10,0.126,
2013-01,0.126,
2013-04,0.146,
2013-07,0.166,
2013-10,0.181,
2014-01,0.182,
2014-04,0.254,
2014-07,0.256,
