"",BBK01.OEAH30S,BBK01.OEAH30S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:18,
2002-01,1.412,
2002-04,1.469,
2002-07,1.490,
2002-10,1.675,
2003-01,1.518,
2003-04,1.557,
2003-07,1.644,
2003-10,1.914,
2004-01,1.681,
2004-04,1.763,
2004-07,1.887,
2004-10,2.086,
2005-01,2.048,
2005-04,1.955,
2005-07,1.961,
2005-10,2.337,
2006-01,1.896,
2006-04,1.955,
2006-07,2.014,
2006-10,2.583,
2007-01,2.183,
2007-04,1.981,
2007-07,1.934,
2007-10,2.259,
2008-01,1.955,
2008-04,2.091,
2008-07,2.065,
2008-10,2.479,
2009-01,2.588,
2009-04,2.687,
2009-07,2.875,
2009-10,3.290,
2010-01,3.151,
2010-04,3.222,
2010-07,3.532,
2010-10,3.703,
2011-01,3.415,
2011-04,3.325,
2011-07,3.500,
2011-10,3.884,
2012-01,3.673,
2012-04,3.602,
2012-07,3.977,
2012-10,4.116,
2013-01,3.968,
2013-04,4.032,
2013-07,4.278,
2013-10,4.257,
2014-01,4.186,
2014-04,4.190,
2014-07,4.518,
