"",BBFN1.M.DE.N.1.L.B0.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:00,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,25.068,
1995-02,25.211,
1995-03,26.357,
1995-04,26.119,
1995-05,26.781,
1995-06,27.491,
1995-07,26.246,
1995-08,25.371,
1995-09,26.848,
1995-10,27.315,
1995-11,27.670,
1995-12,25.866,
1996-01,24.741,
1996-02,24.941,
1996-03,26.255,
1996-04,25.504,
1996-05,25.827,
1996-06,25.874,
1996-07,25.550,
1996-08,23.956,
1996-09,25.728,
1996-10,25.784,
1996-11,26.315,
1996-12,26.567,
1997-01,26.096,
1997-02,26.160,
1997-03,26.989,
1997-04,27.694,
1997-05,27.910,
1997-06,28.255,
1997-07,27.979,
1997-08,26.170,
1997-09,28.823,
1997-10,28.978,
1997-11,29.858,
1997-12,29.559,
1998-01,28.147,
1998-02,29.050,
1998-03,30.616,
1998-04,29.982,
1998-05,30.166,
1998-06,30.952,
1998-07,30.435,
1998-08,28.239,
1998-09,31.549,
1998-10,30.984,
1998-11,30.290,
1998-12,30.088,
1999-01,28.794,
1999-02,28.822,
1999-03,30.835,
1999-04,30.614,
1999-05,29.956,
1999-06,31.417,
1999-07,31.258,
1999-08,29.726,
1999-09,31.528,
1999-10,32.204,
1999-11,32.449,
1999-12,33.961,
2000-01,33.035,
2000-02,34.796,
2000-03,36.018,
2000-04,35.367,
2000-05,35.987,
2000-06,37.558,
2000-07,36.769,
2000-08,36.217,
2000-09,38.469,
2000-10,38.897,
2000-11,40.122,
2000-12,39.993,
2001-01,39.597,
2001-02,39.723,
2001-03,40.731,
2001-04,39.319,
2001-05,39.912,
2001-06,41.530,
2001-07,39.739,
2001-08,38.440,
2001-09,40.397,
2001-10,41.902,
2001-11,41.687,
2001-12,43.505,
2002-01,40.085,
2002-02,40.528,
2002-03,40.187,
2002-04,39.342,
2002-05,39.359,
2002-06,40.867,
2002-07,39.953,
2002-08,38.258,
2002-09,40.491,
2002-10,41.850,
2002-11,41.786,
2002-12,42.138,
2003-01,39.555,
2003-02,40.380,
2003-03,42.079,
2003-04,40.540,
2003-05,39.138,
2003-06,40.576,
2003-07,39.946,
2003-08,37.218,
2003-09,39.745,
2003-10,40.417,
2003-11,40.268,
2003-12,40.497,
2004-01,39.041,
2004-02,38.583,
2004-03,42.614,
2004-04,39.863,
2004-05,45.975,
2004-06,47.159,
2004-07,46.709,
2004-08,44.377,
2004-09,48.143,
2004-10,48.734,
2004-11,49.408,
2004-12,48.450,
2005-01,45.607,
2005-02,46.211,
2005-03,48.395,
2005-04,48.695,
2005-05,47.874,
2005-06,50.267,
2005-07,49.791,
2005-08,48.646,
2005-09,51.954,
2005-10,51.892,
2005-11,52.865,
2005-12,54.169,
2006-01,51.880,
2006-02,53.090,
2006-03,56.026,
2006-04,54.873,
2006-05,54.613,
2006-06,55.933,
2006-07,55.031,
2006-08,52.828,
2006-09,56.159,
2006-10,57.630,
2006-11,58.627,
2006-12,59.811,
2007-01,59.114,
2007-02,59.780,
2007-03,63.473,
2007-04,61.204,
2007-05,60.651,
2007-06,62.675,
2007-07,61.947,
2007-08,59.847,
2007-09,64.414,
2007-10,66.026,
2007-11,66.335,
2007-12,65.443,
2008-01,65.551,
2008-02,67.697,
2008-03,68.761,
2008-04,70.737,
2008-05,71.159,
2008-06,71.126,
2008-07,70.919,
2008-08,67.952,
2008-09,72.385,
2008-10,71.330,
2008-11,70.589,
2008-12,67.645,
2009-01,63.633,
2009-02,63.451,
2009-03,68.211,
2009-04,60.554,
2009-05,61.866,
2009-06,69.996,
2009-07,69.995,
2009-08,64.164,
2009-09,68.780,
2009-10,69.569,
2009-11,70.925,
2009-12,69.983,
2010-01,61.461,
2010-02,62.602,
2010-03,66.925,
2010-04,65.660,
2010-05,66.539,
2010-06,69.671,
2010-07,67.449,
2010-08,64.727,
2010-09,70.149,
2010-10,70.441,
2010-11,69.564,
2010-12,71.762,
2011-01,72.003,
2011-02,74.449,
2011-03,77.058,
2011-04,75.632,
2011-05,75.522,
2011-06,77.258,
2011-07,76.187,
2011-08,72.699,
2011-09,78.742,
2011-10,78.782,
2011-11,79.783,
2011-12,80.993,
2012-01,75.567,
2012-02,78.278,
2012-03,78.598,
2012-04,77.562,
2012-05,77.753,
2012-06,78.215,
2012-07,76.982,
2012-08,72.946,
2012-09,78.074,
2012-10,79.060,
2012-11,79.925,
2012-12,80.114,
2013-01,77.854,
2013-02,78.636,
2013-03,80.103,
2013-04,78.120,
2013-05,77.601,
2013-06,76.333,
2013-07,76.589,
2013-08,75.351,
2013-09,80.893,
2013-10,81.001,
2013-11,82.139,
2013-12,79.298,
2014-01,75.808,
2014-02,78.448,
2014-03,81.360,
2014-04,78.743,
2014-05,78.582,
2014-06,80.294,
2014-07,80.076,
2014-08,76.451,
2014-09,82.741,
2014-10,81.909,
2014-11,83.436,
2014-12,80.757,
"","General: From 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
