"",BBK01.OECB01I,BBK01.OECB01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:57,
2002-01,12.071,
2002-04,11.697,
2002-07,11.513,
2002-10,11.633,
2003-01,10.824,
2003-04,10.796,
2003-07,10.725,
2003-10,10.170,
2004-01,9.721,
2004-04,9.493,
2004-07,9.365,
2004-10,8.872,
2005-01,11.529,
2005-04,11.104,
2005-07,11.064,
2005-10,11.019,
2006-01,10.786,
2006-04,10.440,
2006-07,10.829,
2006-10,9.968,
2007-01,9.772,
2007-04,9.909,
2007-07,9.899,
2007-10,10.198,
2008-01,9.881,
2008-04,10.401,
2008-07,11.031,
2008-10,10.862,
2009-01,10.707,
2009-04,12.875,
2009-07,12.608,
2009-10,12.220,
2010-01,12.156,
2010-04,12.014,
2010-07,14.206,
2010-10,13.869,
2011-01,13.845,
2011-04,13.492,
2011-07,13.413,
2011-10,13.347,
2012-01,13.505,
2012-04,13.682,
2012-07,13.834,
2012-10,13.835,
2013-01,13.290,
2013-04,14.730,
2013-07,15.012,
2013-10,14.929,
2014-01,14.713,
2014-04,14.648,
2014-07,14.198,
