"",BBK01.OEAD30G,BBK01.OEAD30G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:37,
2002-01,0.252,
2002-04,0.282,
2002-07,0.285,
2002-10,0.289,
2003-01,0.273,
2003-04,0.263,
2003-07,0.267,
2003-10,0.266,
2004-01,0.274,
2004-04,0.272,
2004-07,0.274,
2004-10,0.260,
2005-01,0.251,
2005-04,0.251,
2005-07,0.268,
2005-10,0.270,
2006-01,0.257,
2006-04,0.249,
2006-07,0.234,
2006-10,0.225,
2007-01,0.230,
2007-04,0.226,
2007-07,0.237,
2007-10,0.246,
2008-01,0.257,
2008-04,0.241,
2008-07,0.248,
2008-10,0.266,
2009-01,0.297,
2009-04,0.306,
2009-07,0.275,
2009-10,0.277,
2010-01,0.262,
2010-04,0.245,
2010-07,0.253,
2010-10,0.255,
2011-01,0.255,
2011-04,0.278,
2011-07,0.277,
2011-10,0.267,
2012-01,0.261,
2012-04,0.242,
2012-07,0.242,
2012-10,0.240,
2013-01,0.259,
2013-04,0.272,
2013-07,0.259,
2013-10,0.273,
2014-01,0.257,
2014-04,0.233,
2014-07,0.229,
