"",BBK01.OEAE26G,BBK01.OEAE26G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:58,
2002-01,0.958,
2002-04,0.937,
2002-07,0.888,
2002-10,0.822,
2003-01,0.788,
2003-04,0.758,
2003-07,0.982,
2003-10,0.820,
2004-01,0.780,
2004-04,0.878,
2004-07,0.789,
2004-10,0.740,
2005-01,0.723,
2005-04,0.704,
2005-07,0.704,
2005-10,0.657,
2006-01,0.658,
2006-04,0.642,
2006-07,0.623,
2006-10,0.742,
2007-01,0.709,
2007-04,0.637,
2007-07,0.749,
2007-10,0.713,
2008-01,0.661,
2008-04,0.693,
2008-07,0.927,
2008-10,1.068,
2009-01,1.021,
2009-04,1.097,
2009-07,0.850,
2009-10,0.754,
2010-01,0.481,
2010-04,0.480,
2010-07,0.447,
2010-10,0.436,
2011-01,0.416,
2011-04,0.417,
2011-07,0.491,
2011-10,0.531,
2012-01,0.542,
2012-04,0.484,
2012-07,0.589,
2012-10,0.518,
2013-01,0.526,
2013-04,0.545,
2013-07,0.559,
2013-10,0.604,
2014-01,0.598,
2014-04,0.541,
2014-07,0.541,
