"",BBFB1.Q.N.DE.NL.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:16,
1991-01,-161.171,
1991-04,-265.009,
1991-07,-245.151,
1991-10,-199.061,
1992-01,-621.585,
1992-04,-433.424,
1992-07,-342.919,
1992-10,-744.197,
1993-01,-680.720,
1993-04,-720.084,
1993-07,-740.359,
1993-10,-574.677,
1994-01,-1090.515,
1994-04,-648.977,
1994-07,-1069.719,
1994-10,-730.039,
1995-01,-1426.901,
1995-04,-1437.923,
1995-07,-1272.649,
1995-10,-1597.834,
1996-01,-619.478,
1996-04,-895.140,
1996-07,-2464.907,
1996-10,-673.772,
1997-01,-1549.215,
1997-04,-1698.288,
1997-07,-1636.760,
1997-10,-1476.332,
1998-01,-1311.270,
1998-04,-1645.081,
1998-07,-1310.242,
1998-10,-1943.397,
1999-01,-498.917,
1999-04,-744.111,
1999-07,-958.528,
1999-10,-2161.770,
2000-01,-771.610,
2000-04,-1822.954,
2000-07,-2836.712,
2000-10,1062.457,
2001-01,-1576.101,
2001-04,-1420.011,
2001-07,-1470.181,
2001-10,-1737.326,
2002-01,-1872.005,
2002-04,-1865.221,
2002-07,-1969.621,
2002-10,-1719.834,
2003-01,-1531.352,
2003-04,-1549.310,
2003-07,-1670.275,
2003-10,-2035.261,
2004-01,-979.342,
2004-04,-553.122,
2004-07,-174.669,
2004-10,-236.155,
2005-01,-338.141,
2005-04,-350.745,
2005-07,-366.556,
2005-10,-499.817,
2006-01,-230.402,
2006-04,-237.464,
2006-07,-224.490,
2006-10,-406.021,
2007-01,1818.320,
2007-04,1765.041,
2007-07,1477.037,
2007-10,1316.233,
2008-01,4003.849,
2008-04,-271.063,
2008-07,-1050.226,
2008-10,1194.622,
2009-01,2333.793,
2009-04,2194.053,
2009-07,2325.604,
2009-10,2263.090,
2010-01,3269.128,
2010-04,3046.784,
2010-07,3165.405,
2010-10,3137.538,
2011-01,3440.938,
2011-04,3830.667,
2011-07,3938.210,
2011-10,3814.028,
2012-01,3644.539,
2012-04,3569.401,
2012-07,3521.221,
2012-10,3521.167,
2013-01,3642.119,
2013-04,3480.860,
2013-07,3387.325,
2013-10,3505.548,
2014-01,3385.604,Provisional value
2014-04,3371.887,Provisional value
2014-07,3271.286,Provisional value
