"",BBK01.OEAH24T,BBK01.OEAH24T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:47,
2002-01,1.790,
2002-04,1.848,
2002-07,1.861,
2002-10,1.857,
2003-01,1.856,
2003-04,1.844,
2003-07,1.804,
2003-10,1.803,
2004-01,1.796,
2004-04,1.839,
2004-07,1.805,
2004-10,1.803,
2005-01,1.759,
2005-04,1.768,
2005-07,1.713,
2005-10,1.717,
2006-01,1.693,
2006-04,1.671,
2006-07,1.646,
2006-10,1.588,
2007-01,1.543,
2007-04,1.505,
2007-07,1.461,
2007-10,1.431,
2008-01,1.367,
2008-04,1.347,
2008-07,1.295,
2008-10,1.258,
2009-01,1.257,
2009-04,1.247,
2009-07,1.283,
2009-10,1.342,
2010-01,1.352,
2010-04,1.341,
2010-07,1.334,
2010-10,1.319,
2011-01,1.325,
2011-04,1.352,
2011-07,1.357,
2011-10,1.380,
2012-01,1.393,
2012-04,1.394,
2012-07,1.367,
2012-10,1.314,
2013-01,1.187,
2013-04,1.137,
2013-07,1.105,
2013-10,1.103,
2014-01,1.073,
2014-04,1.020,
2014-07,1.013,
