"",BBK01.OEAH32P,BBK01.OEAH32P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:36,
2002-01,0.838,
2002-04,0.927,
2002-07,1.002,
2002-10,1.081,
2003-01,1.158,
2003-04,1.180,
2003-07,1.038,
2003-10,1.167,
2004-01,1.162,
2004-04,1.133,
2004-07,0.991,
2004-10,1.213,
2005-01,1.159,
2005-04,0.978,
2005-07,1.034,
2005-10,1.192,
2006-01,1.140,
2006-04,1.103,
2006-07,1.290,
2006-10,1.438,
2007-01,1.470,
2007-04,1.836,
2007-07,2.015,
2007-10,2.117,
2008-01,2.231,
2008-04,2.269,
2008-07,2.355,
2008-10,2.099,
2009-01,2.212,
2009-04,2.195,
2009-07,2.335,
2009-10,2.029,
2010-01,2.169,
2010-04,1.923,
2010-07,2.147,
2010-10,2.364,
2011-01,2.558,
2011-04,2.853,
2011-07,2.846,
2011-10,2.995,
2012-01,2.483,
2012-04,2.456,
2012-07,2.755,
2012-10,2.200,
2013-01,2.294,
2013-04,1.906,
2013-07,1.791,
2013-10,1.137,
2014-01,1.514,
2014-04,1.475,
2014-07,1.164,
