"",BBDE1.M.DE.Y.AEM1.A2P350000.F.V.I10.A,BBDE1.M.DE.Y.AEM1.A2P350000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, total / At current prices, flows / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:51,
2010-01,98.8,
2010-02,94.3,
2010-03,99.0,
2010-04,97.8,
2010-05,100.7,
2010-06,102.0,
2010-07,99.7,
2010-08,99.9,
2010-09,99.8,
2010-10,100.7,
2010-11,101.1,
2010-12,101.2,
2011-01,102.5,
2011-02,104.0,
2011-03,102.4,
2011-04,105.0,
2011-05,103.9,
2011-06,102.4,
2011-07,107.5,
2011-08,102.9,
2011-09,104.2,
2011-10,102.9,
2011-11,102.9,
2011-12,102.9,
2012-01,102.1,
2012-02,100.7,
2012-03,105.5,
2012-04,100.7,
2012-05,105.2,
2012-06,104.6,
2012-07,104.3,
2012-08,105.9,
2012-09,104.3,
2012-10,104.4,
2012-11,103.0,
2012-12,104.9,
2013-01,101.6,
2013-02,102.6,
2013-03,102.2,
2013-04,107.8,
2013-05,105.6,
2013-06,104.5,
2013-07,105.8,
2013-08,104.7,
2013-09,109.7,
2013-10,108.2,
2013-11,111.6,
2013-12,107.7,
2014-01,112.2,
2014-02,111.5,
2014-03,105.9,
2014-04,112.9,
2014-05,110.9,
2014-06,111.1,
2014-07,107.6,
2014-08,112.1,
2014-09,110.6,
2014-10,110.7,
2014-11,112.6,
2014-12,111.8,Provisional value
