"",BBSF2.M.1.S.00000.TOT01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.TOT01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Special investors funds / Funds total / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:02,
2009-09,222552,
2009-10,224701,
2009-11,228433,
2009-12,230600,
2010-01,236898,
2010-02,240010,
2010-03,244322,
2010-04,236007,
2010-05,234988,
2010-06,234499,
2010-07,238321,
2010-08,245217,
2010-09,244838,
2010-10,248189,
2010-11,240810,
2010-12,236586,
2011-01,235135,
2011-02,237653,
2011-03,238833,
2011-04,238176,
2011-05,239085,
2011-06,236474,
2011-07,236984,
2011-08,237598,
2011-09,234651,
2011-10,234411,
2011-11,227030,
2011-12,235133,
2012-01,239656,
2012-02,249107,
2012-03,253898,
2012-04,253476,
2012-05,256991,
2012-06,255491,
2012-07,262891,
2012-08,266457,
2012-09,269383,
2012-10,273726,
2012-11,280944,
2012-12,286420,
2013-01,289743,
2013-02,292259,
2013-03,296455,
2013-04,304018,
2013-05,303013,
2013-06,295105,
2013-07,298433,
2013-08,298082,
2013-09,299650,
2013-10,300587,
2013-11,303229,
2013-12,301064,
2014-01,309344,
2014-02,312857,
2014-03,319833,
2014-04,322115,
2014-05,327778,
2014-06,327665,
2014-07,329486,
2014-08,335516,
2014-09,334370,
2014-10,334165,
2014-11,337825,
