"",BBK01.DQ7803,BBK01.DQ7803_FLAGS
"","Pay rates, overall economy, all items excluding one-off payments, on an hourly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:11,
1991-01,51.3,
1991-04,53.9,
1991-07,61.3,
1991-10,68.4,
1992-01,56.7,
1992-04,60.5,
1992-07,68.4,
1992-10,76.2,
1993-01,63.0,
1993-04,64.7,
1993-07,73.2,
1993-10,81.5,
1994-01,65.9,
1994-04,66.5,
1994-07,74.8,
1994-10,83.4,
1995-01,68.3,
1995-04,69.8,
1995-07,78.5,
1995-10,87.8,
1996-01,71.5,
1996-04,71.9,
1996-07,80.3,
1996-10,89.1,
1997-01,72.6,
1997-04,73.0,
1997-07,81.6,
1997-10,90.3,
1998-01,74.0,
1998-04,74.5,
1998-07,83.3,
1998-10,91.9,
1999-01,75.3,
1999-04,76.4,
1999-07,85.6,
1999-10,94.2,
2000-01,77.3,
2000-04,78.2,
2000-07,87.4,
2000-10,96.2,
2001-01,79.4,
2001-04,80.1,
2001-07,89.2,
2001-10,98.2,
2002-01,81.3,
2002-04,81.8,
2002-07,91.2,
2002-10,100.6,
2003-01,83.2,
2003-04,83.9,
2003-07,93.2,
2003-10,101.7,
2004-01,84.4,
2004-04,84.9,
2004-07,93.8,
2004-10,101.7,
2005-01,85.3,
2005-04,85.6,
2005-07,94.2,
2005-10,102.2,
2006-01,85.7,
2006-04,86.1,
2006-07,94.2,
2006-10,103.3,
2007-01,86.5,
2007-04,87.3,
2007-07,95.6,
2007-10,105.0,
2008-01,88.9,
2008-04,90.2,
2008-07,98.3,
2008-10,107.8,
2009-01,91.0,
2009-04,92.3,
2009-07,100.6,
2009-10,109.9,
2010-01,93.0,
2010-04,93.8,
2010-07,101.8,
2010-10,111.3,
2011-01,94.2,
2011-04,95.5,
2011-07,103.8,
2011-10,113.7,
2012-01,96.6,
2012-04,98.4,
2012-07,106.9,
2012-10,117.2,
2013-01,99.4,
2013-04,100.4,
2013-07,109.4,
2013-10,120.0,
2014-01,102.1,
2014-04,103.8,
2014-07,112.5,
2014-10,123.4,
