"",BBK01.OEHM02S,BBK01.OEHM02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:33,
2002-01,0.258,
2002-04,0.271,
2002-07,0.277,
2002-10,0.375,
2003-01,0.275,
2003-04,0.245,
2003-07,0.212,
2003-10,0.275,
2004-01,0.219,
2004-04,0.278,
2004-07,0.264,
2004-10,0.252,
2005-01,0.247,
2005-04,0.269,
2005-07,0.246,
2005-10,0.292,
2006-01,0.215,
2006-04,0.245,
2006-07,0.230,
2006-10,0.328,
2007-01,0.288,
2007-04,0.331,
2007-07,0.365,
2007-10,0.360,
2008-01,0.314,
2008-04,0.323,
2008-07,0.340,
2008-10,0.419,
2009-01,0.334,
2009-04,0.337,
2009-07,0.327,
2009-10,0.406,
2010-01,0.336,
2010-04,0.383,
2010-07,0.412,
2010-10,0.427,
2011-01,0.317,
2011-04,0.388,
2011-07,0.336,
2011-10,0.407,
2012-01,0.329,
2012-04,0.424,
2012-07,0.467,
2012-10,0.619,
2013-01,0.503,
2013-04,0.540,
2013-07,0.522,
2013-10,0.648,
2014-01,0.553,
2014-04,0.577,
2014-07,0.580,
