"",BBK01.OEHJ01H,BBK01.OEHJ01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:13,
2002-01,8.583,
2002-04,8.706,
2002-07,8.785,
2002-10,9.194,
2003-01,8.799,
2003-04,8.819,
2003-07,9.031,
2003-10,9.543,
2004-01,9.073,
2004-04,9.153,
2004-07,9.511,
2004-10,9.931,
2005-01,9.652,
2005-04,9.931,
2005-07,10.161,
2005-10,10.743,
2006-01,10.269,
2006-04,10.359,
2006-07,10.838,
2006-10,11.273,
2007-01,10.805,
2007-04,11.088,
2007-07,11.477,
2007-10,11.630,
2008-01,11.170,
2008-04,11.563,
2008-07,12.103,
2008-10,13.056,
2009-01,12.992,
2009-04,13.284,
2009-07,14.668,
2009-10,16.359,
2010-01,15.520,
2010-04,15.641,
2010-07,16.595,
2010-10,17.188,
2011-01,16.624,
2011-04,16.346,
2011-07,17.041,
2011-10,17.828,
2012-01,17.464,
2012-04,17.790,
2012-07,18.853,
2012-10,19.175,
2013-01,18.384,
2013-04,18.507,
2013-07,19.337,
2013-10,19.671,
2014-01,19.153,
2014-04,19.606,
2014-07,20.081,
