"",BBK01.OEBJ02L,BBK01.OEBJ02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:11,
2002-01,25.096,
2002-04,28.256,
2002-07,30.525,
2002-10,30.320,
2003-01,30.037,
2003-04,35.204,
2003-07,35.094,
2003-10,31.446,
2004-01,37.441,
2004-04,39.487,
2004-07,38.228,
2004-10,31.106,
2005-01,40.725,
2005-04,40.724,
2005-07,44.676,
2005-10,37.291,
2006-01,46.353,
2006-04,49.196,
2006-07,47.587,
2006-10,44.192,
2007-01,48.347,
2007-04,49.953,
2007-07,54.193,
2007-10,45.629,
2008-01,55.941,
2008-04,51.767,
2008-07,49.786,
2008-10,46.903,
2009-01,47.396,
2009-04,56.423,
2009-07,41.549,
2009-10,38.539,
2010-01,39.868,
2010-04,42.286,
2010-07,41.469,
2010-10,41.841,
2011-01,49.684,
2011-04,44.189,
2011-07,47.285,
2011-10,45.480,
2012-01,49.227,
2012-04,46.575,
2012-07,47.529,
2012-10,48.159,
2013-01,49.073,
2013-04,50.991,
2013-07,48.585,
2013-10,47.533,
2014-01,45.901,
2014-04,47.300,
2014-07,54.649,
