"",BBFB1.Q.N.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:05,
1991-01,-5562.581,
1991-04,-5402.330,
1991-07,-8144.838,
1991-10,-5352.208,
1992-01,-6732.641,
1992-04,-7281.302,
1992-07,-10734.519,
1992-10,-6814.629,
1993-01,-6997.774,
1993-04,-8191.483,
1993-07,-11244.388,
1993-10,-7244.818,
1994-01,-7737.549,
1994-04,-9392.293,
1994-07,-13245.071,
1994-10,-8625.441,
1995-01,-8955.139,
1995-04,-9728.548,
1995-07,-13413.848,
1995-10,-8156.923,
1996-01,-9167.595,
1996-04,-10217.881,
1996-07,-14258.123,
1996-10,-9361.520,
1997-01,-9926.631,
1997-04,-10544.636,
1997-07,-14071.262,
1997-10,-9339.450,
1998-01,-8846.696,
1998-04,-10745.046,
1998-07,-14927.758,
1998-10,-10401.059,
1999-01,-10894.624,
1999-04,-12377.794,
1999-07,-16714.575,
1999-10,-13311.037,
2000-01,-11832.120,
2000-04,-13375.608,
2000-07,-18809.016,
2000-10,-14328.803,
2001-01,-14997.339,
2001-04,-15109.632,
2001-07,-20618.804,
2001-10,-12107.161,
2002-01,-11528.906,
2002-04,-10984.652,
2002-07,-15168.531,
2002-10,-7757.518,
2003-01,-11388.023,
2003-04,-11183.651,
2003-07,-18249.595,
2003-10,-7873.237,
2004-01,-9043.237,
2004-04,-9706.737,
2004-07,-14326.452,
2004-10,-5671.522,
2005-01,-8143.874,
2005-04,-9662.205,
2005-07,-15859.553,
2005-10,-6994.253,
2006-01,-8945.631,
2006-04,-6850.119,
2006-07,-13796.035,
2006-10,-5167.335,
2007-01,-8386.477,
2007-04,-7855.416,
2007-07,-15196.797,
2007-10,-5519.449,
2008-01,-6978.611,
2008-04,-8224.730,
2008-07,-14192.913,
2008-10,-2630.028,
2009-01,-3588.819,
2009-04,-5046.134,
2009-07,-11158.537,
2009-10,-1636.708,
2010-01,-4703.862,
2010-04,-7450.202,
2010-07,-12668.680,
2010-10,-4068.977,
2011-01,-6320.384,
2011-04,-8777.584,
2011-07,-14774.665,
2011-10,-3787.972,
2012-01,-7914.001,
2012-04,-8303.469,
2012-07,-15356.949,
2012-10,-5275.077,
2013-01,-11255.548,
2013-04,-11658.421,
2013-07,-17879.413,
2013-10,-7163.972,
2014-01,-7137.613,Provisional value
2014-04,-8732.162,Provisional value
2014-07,-18217.437,Provisional value
