"",BBSF2.M.1.S.00000.GEM01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Special investors funds / Mixed securities funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:04,
2009-09,13976,
2009-10,13665,
2009-11,13597,
2009-12,14246,
2010-01,13790,
2010-02,13566,
2010-03,14801,
2010-04,14120,
2010-05,12766,
2010-06,12448,
2010-07,13138,
2010-08,12741,
2010-09,13446,
2010-10,14173,
2010-11,13226,
2010-12,14825,
2011-01,15466,
2011-02,15668,
2011-03,15528,
2011-04,15558,
2011-05,15099,
2011-06,14890,
2011-07,13896,
2011-08,11922,
2011-09,11074,
2011-10,11879,
2011-11,10672,
2011-12,10953,
2012-01,11212,
2012-02,11568,
2012-03,11451,
2012-04,10815,
2012-05,9960,
2012-06,10501,
2012-07,10857,
2012-08,11111,
2012-09,11219,
2012-10,11346,
2012-11,11716,
2012-12,12015,
2013-01,12636,
2013-02,12398,
2013-03,12423,
2013-04,13238,
2013-05,13721,
2013-06,13080,
2013-07,13818,
2013-08,13983,
2013-09,14686,
2013-10,15811,
2013-11,15997,
2013-12,15663,
2014-01,15121,
2014-02,15820,
2014-03,16043,
2014-04,16443,
2014-05,17103,
2014-06,16719,
2014-07,16498,
2014-08,17367,
2014-09,17590,
2014-10,17179,
2014-11,17750,
