"",BBK01.OELM03P,BBK01.OELM03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:41,
2002-01,0.015,
2002-04,0.020,
2002-07,0.013,
2002-10,0.035,
2003-01,0.018,
2003-04,0.013,
2003-07,0.020,
2003-10,0.040,
2004-01,0.030,
2004-04,0.019,
2004-07,0.022,
2004-10,0.036,
2005-01,0.032,
2005-04,0.025,
2005-07,0.025,
2005-10,0.077,
2006-01,0.050,
2006-04,0.049,
2006-07,0.047,
2006-10,0.096,
2007-01,0.073,
2007-04,0.066,
2007-07,0.059,
2007-10,0.124,
2008-01,0.069,
2008-04,0.058,
2008-07,0.044,
2008-10,0.101,
2009-01,0.031,
2009-04,0.029,
2009-07,0.037,
2009-10,0.088,
2010-01,0.031,
2010-04,0.026,
2010-07,0.031,
2010-10,0.108,
2011-01,0.057,
2011-04,0.049,
2011-07,0.027,
2011-10,0.092,
2012-01,0.038,
2012-04,0.032,
2012-07,0.023,
2012-10,0.047,
2013-01,0.036,
2013-04,0.031,
2013-07,0.038,
2013-10,0.048,
2014-01,0.032,
2014-04,0.035,
2014-07,0.035,
