"",BBK01.OEAC21I,BBK01.OEAC21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:53,
2002-01,0.053,
2002-04,0.055,
2002-07,0.061,
2002-10,0.055,
2003-01,0.059,
2003-04,0.059,
2003-07,0.062,
2003-10,0.049,
2004-01,0.055,
2004-04,0.053,
2004-07,0.057,
2004-10,0.047,
2005-01,0.042,
2005-04,0.044,
2005-07,0.042,
2005-10,0.038,
2006-01,0.035,
2006-04,0.035,
2006-07,0.034,
2006-10,0.027,
2007-01,0.034,
2007-04,0.036,
2007-07,0.035,
2007-10,0.032,
2008-01,0.024,
2008-04,0.027,
2008-07,0.031,
2008-10,0.021,
2009-01,0.020,
2009-04,0.018,
2009-07,0.021,
2009-10,0.021,
2010-01,0.026,
2010-04,0.027,
2010-07,0.025,
2010-10,0.021,
2011-01,0.021,
2011-04,0.022,
2011-07,0.028,
2011-10,0.032,
2012-01,0.028,
2012-04,0.028,
2012-07,0.029,
2012-10,0.029,
2013-01,0.028,
2013-04,0.035,
2013-07,0.034,
2013-10,0.029,
2014-01,0.031,
2014-04,0.037,
2014-07,0.037,
