"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.FI.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.FI.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Finland / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:59,
2009-09,828,
2009-10,732,
2009-11,888,
2009-12,869,
2010-01,859,
2010-02,849,
2010-03,773,
2010-04,758,
2010-05,773,
2010-06,857,
2010-07,853,
2010-08,863,
2010-09,743,
2010-10,737,
2010-11,1184,
2010-12,1212,
2011-01,1255,
2011-02,1047,
2011-03,1114,
2011-04,1509,
2011-05,1686,
2011-06,2033,
2011-07,2248,
2011-08,2509,
2011-09,2555,
2011-10,2630,
2011-11,2592,
2011-12,2670,
2012-01,2973,
2012-02,3025,
2012-03,3141,
2012-04,3507,
2012-05,3741,
2012-06,3673,
2012-07,3764,
2012-08,3788,
2012-09,3816,
2012-10,3789,
2012-11,3801,
2012-12,3815,
2013-01,3949,
2013-02,3990,
2013-03,4000,
2013-04,4046,
2013-05,4000,
2013-06,4083,
2013-07,4077,
2013-08,4248,
2013-09,4228,
2013-10,4144,
2013-11,4066,
2013-12,3987,
2014-01,4078,
2014-02,4101,
2014-03,4068,
2014-04,4045,
2014-05,3976,
2014-06,3943,
2014-07,3912,
2014-08,3912,
2014-09,3881,
2014-10,3905,
2014-11,3958,
