"",BBK01.OEXB24H,BBK01.OEXB24H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:09,
2002-01,0.184,
2002-04,0.167,
2002-07,0.220,
2002-10,0.209,
2003-01,0.153,
2003-04,0.262,
2003-07,0.414,
2003-10,0.692,
2004-01,0.102,
2004-04,0.101,
2004-07,0.122,
2004-10,0.101,
2005-01,0.063,
2005-04,0.050,
2005-07,0.051,
2005-10,0.085,
2006-01,0.089,
2006-04,0.098,
2006-07,0.096,
2006-10,0.095,
2007-01,0.095,
2007-04,0.101,
2007-07,0.092,
2007-10,0.102,
2008-01,0.100,
2008-04,0.099,
2008-07,0.099,
2008-10,0.097,
2009-01,0.097,
2009-04,0.093,
2009-07,0.093,
2009-10,0.116,
2010-01,0.117,
2010-04,0.117,
2010-07,0.117,
2010-10,0.128,
2011-01,0.122,
2011-04,0.116,
2011-07,0.117,
2011-10,0.124,
2012-01,0.115,
2012-04,0.114,
2012-07,0.119,
2012-10,0.117,
2013-01,0.111,
2013-04,0.097,
2013-07,0.082,
2013-10,0.088,
2014-01,0.087,
2014-04,0.086,
2014-07,0.089,
