"",BBK01.OEAE30U,BBK01.OEAE30U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:29,
2002-01,0.230,
2002-04,0.251,
2002-07,0.245,
2002-10,0.252,
2003-01,0.249,
2003-04,0.258,
2003-07,0.260,
2003-10,0.271,
2004-01,0.265,
2004-04,0.261,
2004-07,0.261,
2004-10,0.254,
2005-01,0.252,
2005-04,0.247,
2005-07,0.252,
2005-10,0.256,
2006-01,0.257,
2006-04,0.258,
2006-07,0.257,
2006-10,0.260,
2007-01,0.268,
2007-04,0.260,
2007-07,0.259,
2007-10,0.253,
2008-01,0.247,
2008-04,0.246,
2008-07,0.242,
2008-10,0.237,
2009-01,0.214,
2009-04,0.206,
2009-07,0.205,
2009-10,0.196,
2010-01,0.192,
2010-04,0.190,
2010-07,0.201,
2010-10,0.203,
2011-01,0.211,
2011-04,0.255,
2011-07,0.254,
2011-10,0.251,
2012-01,0.249,
2012-04,0.247,
2012-07,0.253,
2012-10,0.248,
2013-01,0.256,
2013-04,0.252,
2013-07,0.257,
2013-10,0.269,
2014-01,0.263,
2014-04,0.267,
2014-07,0.261,
