"",BBK01.OELL07N,BBK01.OELL07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:21,
2002-01,32.437,
2002-04,32.237,
2002-07,32.159,
2002-10,33.112,
2003-01,33.382,
2003-04,33.341,
2003-07,33.112,
2003-10,33.688,
2004-01,33.690,
2004-04,33.663,
2004-07,33.467,
2004-10,34.076,
2005-01,33.953,
2005-04,33.758,
2005-07,33.573,
2005-10,33.904,
2006-01,34.280,
2006-04,34.375,
2006-07,34.057,
2006-10,33.793,
2007-01,32.800,
2007-04,31.959,
2007-07,31.228,
2007-10,31.019,
2008-01,30.019,
2008-04,29.100,
2008-07,28.014,
2008-10,28.535,
2009-01,29.718,
2009-04,31.083,
2009-07,32.357,
2009-10,34.384,
2010-01,35.737,
2010-04,36.346,
2010-07,36.556,
2010-10,37.056,
2011-01,37.121,
2011-04,36.731,
2011-07,36.358,
2011-10,36.489,
2012-01,36.196,
2012-04,35.959,
2012-07,35.858,
2012-10,36.123,
2013-01,36.113,
2013-04,35.873,
2013-07,35.760,
2013-10,36.010,
2014-01,35.987,
2014-04,35.816,
2014-07,35.690,
