"",BBK01.OEAH12K,BBK01.OEAH12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:33,
2002-01,10.255,
2002-04,9.696,
2002-07,9.674,
2002-10,10.183,
2003-01,10.451,
2003-04,10.381,
2003-07,10.321,
2003-10,10.453,
2004-01,10.397,
2004-04,10.509,
2004-07,10.550,
2004-10,10.872,
2005-01,12.123,
2005-04,12.227,
2005-07,12.081,
2005-10,11.980,
2006-01,11.969,
2006-04,11.898,
2006-07,11.771,
2006-10,11.859,
2007-01,11.908,
2007-04,11.626,
2007-07,11.338,
2007-10,11.476,
2008-01,11.624,
2008-04,11.483,
2008-07,11.150,
2008-10,11.662,
2009-01,11.644,
2009-04,11.539,
2009-07,11.637,
2009-10,11.657,
2010-01,11.856,
2010-04,11.758,
2010-07,11.842,
2010-10,12.104,
2011-01,12.100,
2011-04,12.110,
2011-07,11.953,
2011-10,11.874,
2012-01,12.094,
2012-04,12.027,
2012-07,12.349,
2012-10,12.513,
2013-01,12.413,
2013-04,12.394,
2013-07,12.421,
2013-10,12.536,
2014-01,12.979,
2014-04,13.106,
2014-07,13.198,
