"",BBK01.OEHJ05N,BBK01.OEHJ05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:40,
2002-01,1.204,
2002-04,1.228,
2002-07,1.205,
2002-10,1.395,
2003-01,1.403,
2003-04,1.416,
2003-07,1.395,
2003-10,1.592,
2004-01,1.611,
2004-04,1.670,
2004-07,1.779,
2004-10,1.507,
2005-01,1.523,
2005-04,1.649,
2005-07,1.677,
2005-10,1.563,
2006-01,1.696,
2006-04,1.740,
2006-07,1.885,
2006-10,1.882,
2007-01,1.938,
2007-04,2.021,
2007-07,2.027,
2007-10,2.039,
2008-01,1.961,
2008-04,1.987,
2008-07,1.971,
2008-10,1.978,
2009-01,2.041,
2009-04,2.515,
2009-07,2.631,
2009-10,2.708,
2010-01,2.752,
2010-04,2.769,
2010-07,2.797,
2010-10,2.847,
2011-01,3.079,
2011-04,3.321,
2011-07,3.337,
2011-10,3.459,
2012-01,3.496,
2012-04,3.529,
2012-07,3.573,
2012-10,3.600,
2013-01,3.806,
2013-04,4.000,
2013-07,4.168,
2013-10,4.138,
2014-01,4.136,
2014-04,4.133,
2014-07,4.200,
