"",BBK01.OEAA54G,BBK01.OEAA54G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:41,
2002-01,4.158,
2002-04,4.291,
2002-07,4.215,
2002-10,3.865,
2003-01,3.904,
2003-04,3.875,
2003-07,3.756,
2003-10,3.840,
2004-01,4.112,
2004-04,4.050,
2004-07,3.963,
2004-10,5.389,
2005-01,4.306,
2005-04,4.257,
2005-07,4.227,
2005-10,4.231,
2006-01,8.076,
2006-04,8.545,
2006-07,9.545,
2006-10,9.128,
2007-01,9.566,
2007-04,9.443,
2007-07,10.530,
2007-10,10.700,
2008-01,2.666,
2008-04,3.460,
2008-07,4.676,
2008-10,5.723,
2009-01,6.283,
2009-04,6.450,
2009-07,6.929,
2009-10,6.458,
2010-01,6.695,
2010-04,5.912,
2010-07,5.937,
2010-10,5.769,
2011-01,5.008,
2011-04,5.041,
2011-07,4.126,
2011-10,4.147,
2012-01,5.156,
2012-04,4.894,
2012-07,4.812,
2012-10,4.246,
2013-01,3.726,
2013-04,3.418,
2013-07,2.610,
2013-10,3.029,
2014-01,3.885,
2014-04,5.875,
2014-07,8.659,
